"Date","Contract","NSN","Part Name","Part #","Quan","Unit Price","Line price","Supplier","Manufacturer"
"2021-12-07","47QSMA20D08NP","-","I/O DEVICE","BSSBLU101M","1","2464.90","2464.90","JENSEN AUDIO VISUAL","BSS"
"2021-07-20","47QSMA20D08NP","-","I/O DEVICE","BSSBLU101M","1","2464.90","2464.90","JENSEN AUDIO VISUAL","BSS"
"2021-05-13","47QSMA20D08NP","-","I/O DEVICE","BSSBLU101M","2","2464.90","4929.80","JENSEN AUDIO VISUAL","BSS"
