"Date","Contract","NSN","Part Name","Part #","Quan","Unit Price","Line price","Supplier","Manufacturer"
"2021-09-15","GS21F0083Y","-","Peltor(TM) Sport Shotgunner(TM) II Low-Profil","97040-PEL-6C","48","16.54","793.92","Caprice Electronics, Inc.","3M Company"
"2021-05-25","47QSWA18D005W","-","PELTOR SHOTGUNNER II LO-PRO NRR 24","97040-PEL-6C","17","19.47","330.99","BZ DEFENSE LLC","3M Company"
"2021-04-26","GS07F0291Y","-","PELTOR(TM) SPORT SHOTGUNNER(TM)","97040-PEL-6C","10","16.50","165.00","VISIONS OF VIDEO","3M Company"
"2020-12-09","47QSWA18D005W","-","PELTOR SHOTGUNNER II LO-PRO NRR 24","97040-PEL-6C","6","23.52","141.12","BZ DEFENSE LLC","3M Company"
"2020-05-15","GS21F0083Y","-","PELTOR(TM) SPORT SHOTGUNNER(TM) II...","97040-PEL-6C","5","16.55","82.75","CAPRICE ELECTRONICS, INC.","3M Company"
"2020-04-19","GS07F0291Y","-","PELTOR(TM) SPORT SHOTGUNNER(TM)","97040-PEL-6C","220","16.40","3608.00","VISIONS OF VIDEO","3M Company"
"2019-08-07","GS21F0083Y","-","PELTOR(TM) SPORT SHOTGUNNER(TM) II...","97040-PEL-6C","10","16.37","163.70","CAPRICE ELECTRONICS, INC.","3M Company"
