"donor_id","omega","active"
"1005002883565",0,FALSE
"1005004946602",0,FALSE
"1005009991435",0.000181308817719277,TRUE
"1005010333900",0,FALSE
"1005010534216",0,FALSE
"1005010595052",0,FALSE
"1005010595053",0,FALSE
"1005010595055",0,FALSE
"1005012208635",0.000147355825369072,TRUE
"1005012210624",0,FALSE
"1005012522822",0,FALSE
"1005012575386",0.000337997868954772,TRUE
"1005013221228",0,FALSE
"1005013618208",0,FALSE
"1005014660412",0,FALSE
"1005014660417",0,FALSE
"1005014660419",0,FALSE
"1005014660423",0,FALSE
"1005014660425",0,FALSE
"1005014660427",0,FALSE
"1005014660429",0,FALSE
"1005014776396",0.000225512646604438,TRUE
"1005014819567",0,FALSE
"1005014934176",0,FALSE
"1005014936047",0,FALSE
"1005014984424",0,FALSE
"1005015161539",0,FALSE
"1005015344534",0,FALSE
"1005015418974",0,FALSE
"1005015521851",0.00018179479277756,TRUE
"1005015732707",0.000109410949138386,TRUE
"1005015897062",0,FALSE
"1005015998636",0,FALSE
"1005016040627",0,FALSE
"1005016136153",0,FALSE
"1005016136261",0,FALSE
"1005016649790",0,FALSE
"1005016650682",0,FALSE
"1005016650712",0,FALSE
"1005016653062",0,FALSE
"1005016654335",0,FALSE
"1005016654553",0,FALSE
"1005123738610",0,FALSE
"1005131166332",0,FALSE
"1005131183535",0,FALSE
"1005131187694",0,FALSE
"1005131188930",0,FALSE
"1005131188965",0,FALSE
"1005131223195",0,FALSE
"1005251509004",0,FALSE
"1010015858975",0,FALSE
"1025008651943",0,FALSE
"1025016581455",0,FALSE
"1055012835832",0,FALSE
"1055015862556",0,FALSE
"1095012849947",0,FALSE
"1095012859741",0,FALSE
"1095015240426",0,FALSE
"1095015506607",0,FALSE
"1095015984471",0.000214144576435789,TRUE
"1095015994865",0.000196652698441513,TRUE
"1095015994868",0.00015883723499452,TRUE
"1095015994871",0.000187645266166879,TRUE
"1095015994882",0.000181458515788631,TRUE
"1095016030169",0.000239621953854916,TRUE
"1095016084332",0,FALSE
"1095016091246",0,FALSE
"1095016091271",0,FALSE
"1095016091274",0,FALSE
"1095016460915",0,FALSE
"1240014527822",0,FALSE
"1270005610060",0,FALSE
"1290014631478",0,FALSE
"1420011528730",0.000201371027924023,TRUE
"1420014574460",0.000198437078875029,TRUE
"1430012281363",0,FALSE
"1440010919016",0,FALSE
"1440013311938",0,FALSE
"1440014630358",0,FALSE
"1440015004945",0,FALSE
"1440016316212",0,FALSE
"1440016691267",0.000483451812784302,TRUE
"1450009457904",0,FALSE
"1450011008394",0,FALSE
"1560000103071",0,FALSE
"1560000109882",0,FALSE
"1560000194410",0,FALSE
"1560000239388",0,FALSE
"1560000239510",0.0002560600155393,TRUE
"1560000239531",0.000204613753302933,TRUE
"1560000278760",0,FALSE
"1560000278916",0,FALSE
"1560000278919",0,FALSE
"1560000278953",0,FALSE
"1560000278957",0.000155475989799502,TRUE
"1560000662901",0,FALSE
"1560000744235",0,FALSE
"1560000753729",0,FALSE
"1560001068403",0.000212942497840007,TRUE
"1560001111586",0,FALSE
"1560001111589",0,FALSE
"1560001111593",0.000190089355521076,TRUE
"1560001114630",0,FALSE
"1560001197586",0,FALSE
"1560001337158",0.000171688841537363,TRUE
"1560001627208",0,FALSE
"1560001744272",0,FALSE
"1560002255542",0,FALSE
"1560003127827",0,FALSE
"1560003204899",0,FALSE
"1560003336688",0,FALSE
"1560003336734",0,FALSE
"1560003336818",0,FALSE
"1560003409494",0.000372883822828209,TRUE
"1560004016097",0.000168567976847593,TRUE
"1560004058746",0.00016486459552701,TRUE
"1560004101025",0,FALSE
"1560004354802",0,FALSE
"1560004390100",0,FALSE
"1560004390114",0.000204530755305789,TRUE
"1560004508473",0,FALSE
"1560004799629",0,FALSE
"1560005068651",0,FALSE
"1560005096791",0.000197314959141373,TRUE
"1560005238558",0,FALSE
"1560005240116",0.000142998434621213,TRUE
"1560005734184",0,FALSE
"1560005759581",0.000167952349342012,TRUE
"1560005891159",0.00103465855038519,TRUE
"1560006046714",0.000169778169532926,TRUE
"1560006117045",0,FALSE
"1560006142412",0.000161525995313291,TRUE
"1560006146096",0,FALSE
"1560006207550",0.000242355263248631,TRUE
"1560006214943",0.000307982146377436,TRUE
"1560006270829",0,FALSE
"1560006304264",0,FALSE
"1560006312194",0.000127316661761458,TRUE
"1560006333250",0,FALSE
