"donor_id","omega","active"
"1005000506357",0,FALSE
"1005002883565",0,FALSE
"1005004946602",0,FALSE
"1005010534216",0,FALSE
"1005010595052",0,FALSE
"1005010595053",0,FALSE
"1005010595055",0,FALSE
"1005012210428",0,FALSE
"1005012210624",0,FALSE
"1005012490184",0,FALSE
"1005013442846",0,FALSE
"1005013618208",0,FALSE
"1005014085897",0,FALSE
"1005014108482",0,FALSE
"1005014660412",0,FALSE
"1005014660417",0,FALSE
"1005014660419",0,FALSE
"1005014660425",0,FALSE
"1005014660427",0,FALSE
"1005014776396",0,FALSE
"1005014934176",0,FALSE
"1005014934177",0,FALSE
"1005014936047",0,FALSE
"1005014984424",0,FALSE
"1005015011528",0,FALSE
"1005015267354",0,FALSE
"1005015344534",0,FALSE
"1005015422740",0,FALSE
"1005015521264",0.00869070604891533,TRUE
"1005015540644",0,FALSE
"1005015634655",0,FALSE
"1005015732684",0,FALSE
"1005015897062",0,FALSE
"1005015998636",0,FALSE
"1005016018485",0,FALSE
"1005016040627",0,FALSE
"1005016136261",0,FALSE
"1005016293981",0,FALSE
"1005016447531",0,FALSE
"1005016645924",0,FALSE
"1005016650494",0,FALSE
"1005016650682",0,FALSE
"1005016650712",0,FALSE
"1005016653062",0,FALSE
"1005016654335",0,FALSE
"1005016654553",0,FALSE
"1005131188930",0,FALSE
"1005131188965",0,FALSE
"1005131215307",0,FALSE
"1005131216606",0,FALSE
"1005131223195",0,FALSE
"1010015858975",0,FALSE
"1025016581455",0,FALSE
"1045014910569",0,FALSE
"1055015862556",0,FALSE
"1095012859741",0,FALSE
"1095015240426",0,FALSE
"1095015984471",0,FALSE
"1095015994865",0,FALSE
"1095015994868",0,FALSE
"1095015994871",0,FALSE
"1095015994882",0,FALSE
"1095016084332",0,FALSE
"1095016091246",0,FALSE
"1095016091266",0,FALSE
"1095016091271",0,FALSE
"1095016091274",0,FALSE
"1095016200895",0,FALSE
"1095016460915",0,FALSE
"1240200045448",0.00468232993549689,TRUE
"1270005610060",0,FALSE
"1270251620273",0,FALSE
"1430012281363",0,FALSE
"1430012983536",0,FALSE
"1440014630358",0,FALSE
"1440015004945",0,FALSE
"1450011008394",0,FALSE
"1560000103071",0,FALSE
"1560000109882",0,FALSE
"1560000239383",0,FALSE
"1560000239388",0,FALSE
"1560000239510",0,FALSE
"1560000239531",0,FALSE
"1560000239588",0,FALSE
"1560000278760",0,FALSE
"1560000278916",0,FALSE
"1560000278919",0,FALSE
"1560000278953",0,FALSE
"1560000662901",0,FALSE
"1560000744235",0,FALSE
"1560000753729",0,FALSE
