treated_nsn,first_waiver_date,waiver_fy,n_pre_fy_treated,n_active_eys_treated,active_eys_treated,n_donors_in_universe,n_donors_after_coverage,skipped,reason
1660016004909,2022-11-22,2023,0,0,"",372288,0,true,no treated pre-period data
1680016229189,2022-09-13,2022,0,0,"",372288,0,true,no treated pre-period data
2895145543146,2023-03-14,2023,2,3,"-5,-4,0",372288,50270,false,""
3990015742050,2023-04-13,2023,6,8,"-5,-4,-3,-2,-1,0,1,2",372288,14574,false,""
4240015387970,2023-03-06,2023,4,5,"-5,-4,-3,-2,0",372288,25363,false,""
4510015272274,2023-03-08,2023,3,7,"-5,-4,-3,-2,0,1,2",372288,16282,false,""
6695012662248,2025-07-10,2025,0,0,"",372288,0,true,no treated pre-period data
8150014633177,2022-09-28,2022,5,8,"-5,-4,-3,-2,-1,0,1,2",372288,15555,false,""
8150014638553,2022-07-06,2022,6,9,"-5,-4,-3,-2,-1,0,1,2,3",372288,11594,false,""
8150014638555,2022-08-25,2022,5,8,"-5,-4,-3,-2,-1,0,1,2",372288,15534,false,""
8150014813740,2024-03-28,2024,5,6,"-5,-4,-3,-1,0,1",372288,19035,false,""
8150014813741,2022-10-17,2023,5,8,"-5,-4,-3,-2,-1,0,1,2",372288,15515,false,""
8150014839115,2023-03-22,2023,5,8,"-5,-4,-3,-2,-1,0,1,2",372288,14749,false,""
8150014839121,2022-10-17,2023,4,5,"-4,-3,-2,-1,0",372288,27426,false,""
8150014839123,2022-10-17,2023,5,9,"-5,-4,-3,-2,-1,0,1,2,3",372288,8818,false,""
8150014839125,2024-03-28,2024,6,6,"-5,-3,-2,-1,0,1",372288,20650,false,""
8150014886545,2023-01-19,2023,1,1,-4,372288,147479,false,""
8150014912678,2022-09-27,2022,5,8,"-5,-4,-3,-2,-1,0,1,2",372288,15591,false,""
8150014912727,2024-02-22,2024,0,0,"",372288,0,true,no treated pre-period data
8150015012741,2022-12-21,2023,5,8,"-5,-4,-3,-2,-1,0,1,2",372288,15119,false,""
8150015134913,2024-03-28,2024,5,7,"-5,-4,-3,-2,-1,0,1",372288,17155,false,""
8150015148414,2022-10-17,2023,5,9,"-5,-4,-3,-2,-1,0,1,2,3",372288,8818,false,""
8150015338673,2024-03-28,2024,6,7,"-5,-4,-3,-2,-1,0,1",372288,17155,false,""
8150015338674,2022-11-08,2023,5,8,"-5,-4,-3,-2,-1,0,1,2",372288,15367,false,""
8150015338675,2023-03-21,2023,6,8,"-5,-4,-3,-2,-1,0,1,2",372288,14756,false,""
8150015338677,2024-03-28,2024,6,7,"-5,-4,-3,-2,-1,0,1",372288,17155,false,""
8150015737424,2022-09-22,2022,2,3,"-4,-3,0",372288,44695,false,""
8150015741682,2024-03-28,2024,4,6,"-5,-4,-3,-1,0,1",372288,19035,false,""
