"outcome","n_fits","mean_att","median_att","sd_att","n_asymp_p_lt_05","n_empirical_p_lt_05","median_pre_rmspe","q25_pre_rmspe","q75_pre_rmspe","median_n_active","median_weight_hhi","median_balanced_pool"
"domestic_share",21,-0.452408186400986,-0.381679591188577,0.287309766760841,18,19,0.00332155692319544,0.000662928020317344,0.00735425517747384,61,0.0261980978796272,13905
"max_log_unit_price",21,-0.0775704282204648,-0.112159829420226,0.27728521747202,1,1,0.000442199818493128,0.000214968089528197,0.000578320393428993,4519,0.00040461673233891,15548
"mean_offers",21,0.319857031128014,-0.0145128610733944,2.2539002093847,2,2,0.00710613106882153,0.00546988233277521,0.0252091576729189,1927,0.000794970493179069,2979
