NSN,BASE_PIID,mod_n,line_n,AWARD_DATE,_n,_nq,_np,_no
5330013103989,SPE7M121FAJ71,P00001,1,2021-05-30,2,1,2,1
5330014471843,SPE7M121FZ427,BASE,1,2020-11-05,2,1,2,1
5330015779030,SPE7M121FZ07T,BASE,1,2021-03-23,2,1,2,1
5330016859742,SPE7L321V4636,BASE,1,2021-02-24,2,2,1,1
5335014744593,SPE8E421V1667,P00001,2,2021-08-24,2,2,1,1
5340013166319,SPE7MX22FA160,BASE,1,2021-12-15,2,1,2,1
5340014118904,SPE7M121FAJ0H,BASE,1,2021-08-13,2,1,2,1
5340014321394,SPE7M120FAT8B,BASE,1,2020-06-30,3,1,2,1
5340015190667,SPE7M120FAQ6U,BASE,1,2020-06-17,2,1,2,1
5340015775721,SPE7M120FAKG3,BASE,1,2020-08-28,2,1,2,1
5340015775721,SPE7M120FAKH3,BASE,1,2020-08-28,2,1,2,1
5340015857618,SPE7M120FAV94,BASE,1,2020-04-23,2,1,2,1
5340015857618,SPE7M120FZ229,BASE,1,2020-04-23,2,1,2,1
5340016607991,SPE7LX22FZ772,BASE,1,2022-04-28,4,1,2,1
5342006738820,SPE4A220F4234,P00002,1,2020-06-08,2,1,2,1
5355014810520,SPE7M121FAQ89,P00001,1,2021-06-11,2,1,2,1
5360015126238,SPE7M121FAM78,BASE,1,2021-06-04,2,1,2,1
5925015802765,SPE7MX20FAK0M,BASE,1,2020-01-22,2,2,1,1
5930009887542,SPE7MX22F092C,BASE,1,2022-03-17,4,1,2,1
5930009887542,SPE7MX22F092C,BASE,2,2022-03-17,4,1,2,1
5930014357675,SPE7M122F096N,BASE,1,2022-02-09,4,1,2,1
5930014357675,SPE7M122F096N,BASE,2,2022-02-09,4,1,2,1
5930014357675,SPE7M122F096N,BASE,3,2022-02-09,4,1,2,1
5930015375699,SPE7M121FA25N,BASE,1,2020-10-28,2,1,2,1
5935010186852,SPE7M121FA8Q4,BASE,1,2021-01-19,3,1,2,1
5935011758420,SPE7MX21FA3ZT,BASE,1,2021-01-14,2,2,1,1
5935012315039,SPE7M122FA61P,BASE,1,2022-01-07,2,1,2,1
5935012549393,SPE7M120FAV95,P00002,1,2020-04-23,2,1,2,1
5935015433473,SPE7M121FA48Y,BASE,1,2020-11-05,3,1,2,1
5935015433473,SPE7M121FA48Z,BASE,1,2020-11-05,2,1,2,1
5935015433473,SPE7M121FA49A,BASE,1,2020-11-05,3,1,2,1
5935015433473,SPE7M121FA49B,BASE,1,2020-11-05,3,1,2,1
5950010283780,SPE7M120FZ080,P00001,1,2020-01-07,4,1,2,1
5960010713338,SPE7MX21FA8UP,BASE,1,2021-04-08,5,1,2,1
5962012130370,SPE7M922P0447,BASE,1,2022-05-12,2,2,1,1
5965016313875,SPE7LX21F36R2,P00001,1,2021-09-09,4,1,2,1
5970013798041,SPE7M120FAT78,BASE,1,2020-04-21,3,1,2,1
5975014810631,SPE7M120FAX1V,BASE,1,2020-07-15,2,1,2,1
5975015268775,SPE4AX20FZ421,BASE,1,2020-04-30,3,2,1,1
5985011407489,SPE7LX21FZ467,BASE,1,2020-11-10,3,1,2,1
5985011407489,SPE7M121FZ542,BASE,1,2020-11-13,4,1,2,1
5985016094293,SPE7M121FAQ47,BASE,1,2021-06-10,2,1,2,1
5995010916700,SPE7M121FZ422,BASE,1,2020-11-05,2,2,2,1
5995012351568,SPE7M121FAL1Z,BASE,1,2021-08-30,2,1,2,1
5995015267965,SPE7M121FZ14K,BASE,1,2021-06-24,2,1,2,1
5995015306964,SPE7M121FAK6Y,BASE,1,2021-08-26,4,1,2,1
5995015309409,SPE7M121FAH8V,BASE,1,2021-08-12,4,1,2,1
5999012028707,SPE7M121FA1CQ,BASE,1,2021-02-03,2,1,2,1
5999012237475,SPE7M121FZ425,BASE,1,2020-11-05,2,1,2,1
5999012237475,SPE7M121FZ430,BASE,1,2020-11-05,2,1,2,1
5999014472960,SPE7M121F039A,BASE,1,2021-03-18,7,1,2,1
5999014706214,SPE7M120FAN2E,BASE,1,2020-06-05,2,1,2,1
5999015268092,SPE7M121FA8Q3,BASE,1,2021-01-19,2,1,2,1
6020016271295,SPE7M121FA9DT,BASE,1,2021-05-06,2,1,2,1
6135009857845,SPE7LX22F844L,BASE,1,2022-03-15,8,1,2,1
6140013583027,SPE7L122F016T,BASE,1,2021-11-18,4,1,2,1
6140014500141,SPE7LX22F02XP,BASE,1,2022-06-13,14,1,2,1
6140015446731,SPE7L222F1843,BASE,1,2022-06-01,2,1,2,1
6150012295476,SPE4A619F590N,BASE,1,2019-09-12,3,1,2,1
6150015014351,SPE7M120FZ278,BASE,1,2020-06-04,2,1,2,1
6150015307957,SPE7M121FAK7D,BASE,1,2021-08-26,9,1,2,1
6230015055272,SPE8EJ20F061E,BASE,1,2020-04-23,4,1,2,1
6230015055272,SPE8EJ20F063M,BASE,1,2020-04-24,4,1,2,1
6230015055272,SPE8EJ20F069X,BASE,1,2020-04-28,4,1,2,1
6230015055272,SPE8EJ20F073D,BASE,1,2020-04-29,4,1,2,1
6230015055272,SPE8EJ20F075N,BASE,1,2020-04-29,4,1,2,1
6230015055272,SPE8EJ20F076H,BASE,1,2020-04-30,4,1,2,1
