ts,stage,n_in,n_out,n_dropped,pct_dropped,reason
2026-06-09T13:30:42,dla_action_date_cutoff,DLA full (~13.5M),13378829,,,keep action_date <= 2026-01-31
2026-06-09T13:30:42,dla_drop_null_date_or_nsn,13378829,13378829,0,0.0,drop rows with null AWARD_DATE or NSN
2026-06-09T13:30:51,dla_safe_dedup,13378829,9011563,4367266,32.6431,"safe-dedup on ['NSN', 'BASE_PIID', 'mod_n', 'line_n', 'AWARD_DATE']; 458 anomalous groups left un-deduped"
2026-06-09T13:30:53,bidlink_universe_filter,5518,5456,62,1.1236,keep rows for the 91 NSNs with valid date and action_date <= 2026-01-31
2026-06-09T13:30:53,bidlink_internal_dedup,5456,5456,0,0.0,BidLink scrape-artifact dedup
2026-06-09T13:30:53,bidlink_proxy_unit_price,5439,5442,-3,-0.0552,proxy unit price injection for 3 eligible NSN(s)
2026-06-09T13:30:54,bidlink_only_overlay,5456,1571,3885,71.206,BidLink rows with no matching DLA line — appended to enriched dataset
