ts,stage,n_in,n_out,n_dropped,pct_dropped,reason
2026-07-02T19:52:15,dla_action_date_cutoff,DLA full,13378829,,,keep action_date <= 2026-01-31
2026-07-02T19:52:15,dla_drop_null_date_or_nsn,13378829,13378829,0,0.0,drop rows with null AWARD_DATE or NSN
2026-07-02T19:52:23,dla_safe_dedup,13378829,9011563,4367266,32.6431,"safe-dedup on ['NSN', 'BASE_PIID', 'mod_n', 'line_n', 'AWARD_DATE']; 458 anomalous groups left un-deduped"
2026-07-02T19:52:25,dla_filter_to_universe,9011563,7639980,1371583,15.2203,"keep rows for 372,316 NSNs (treated + donors)"
2026-07-02T19:52:25,bidlink_universe_filter,5518,5456,62,1.1236,keep rows for the 91 NSNs with valid date and action_date <= 2026-01-31
2026-07-02T19:52:26,bidlink_internal_dedup,5456,5456,0,0.0,BidLink scrape-artifact dedup
2026-07-02T19:52:27,bidlink_proxy_unit_price,5439,5442,-3,-0.0552,proxy unit price injection for 3 eligible NSN(s)
