"treated_nsn","donor_nsn","fsg","mahalanobis_distance","match_weight"
"2895145543146","2815006798055","28",2.57112341939031,1
"2895145543146","2825007563888","28",3.6632422562963,1
"2895145543146","2835010380488","28",3.72602660773615,1
"3990015742050","3950015735565","39",2.25454233715313,1
"3990015742050","3990013328974","39",3.21037811578913,1
"3990015742050","3990015736697","39",1.99870145783445,1
"4240015387970","4210014938159","42",0.472320416749784,1
"4240015387970","4230012942118","42",0.277943610537894,1
"4240015387970","4240012434201","42",0.497851324260237,1
"4510015272274","4510010631899","45",3.37585489462174,1
"4510015272274","4510014330396","45",3.43096623661304,1
"4510015272274","4520013025301","45",3.36347032226599,1
"8150014633177","8145015121019","81",0.892574639837879,1
"8150014633177","8145015860404","81",1.07381045613523,1
"8150014633177","8145015860408","81",0.868007336597374,1
"8150014638553","8120009492073","81",1.46308406768707,1
"8150014638553","8120015726397","81",1.45720733259426,1
"8150014638553","8150015136282","81",1.29261318632464,1
"8150014638555","8145015120923","81",0.712626620774489,1
"8150014638555","8145015860404","81",1.48181261512948,1
"8150014638555","8150015136282","81",0.696029876080327,1
"8150014813740","8145015120923","81",1.32833983573324,1
"8150014813740","8145015121003","81",1.05129380811158,1
"8150014813740","8150015136282","81",0.754719890467027,1
"8150014813741","8145015120923","81",1.58707643220887,1
"8150014813741","8145015121019","81",1.0883693564583,1
"8150014813741","8145015860404","81",1.07767915041482,1
"8150014839115","8110016742266","81",0.851839408114554,1
"8150014839115","8145011883644","81",0.823846768783128,1
"8150014839115","8145015104442","81",0.852157427627806,1
"8150014839121","8145013163292","81",0.304800683403605,1
"8150014839121","8145015883678","81",0.274902998183271,1
"8150014839121","8145015883690","81",0.353955700951753,1
"8150014839123","8145014653685","81",1.51816349728574,1
"8150014839123","8145015883678","81",1.50410941261264,1
"8150014839123","8145015883690","81",1.55481282038016,1
"8150014839125","8145014653687","81",2.15016963971288,1
"8150014839125","8145016008837","81",2.17154093037588,1
"8150014839125","8150015136282","81",1.63884671558012,1
"8150014912678","8145015121019","81",1.43570180633707,1
"8150014912678","8145015860404","81",1.43053054401,1
"8150014912678","8145015860408","81",1.40999948496324,1
"8150015012741","8145015121019","81",1.53796109084028,1
"8150015012741","8145015860404","81",1.68833821298706,1
"8150015012741","8145015860408","81",1.86696572870729,1
"8150015134913","8145015120923","81",1.41701989107226,1
"8150015134913","8145015121003","81",1.31484090638635,1
"8150015134913","8150015136282","81",1.00163074114744,1
"8150015148414","8145014653685","81",1.70888310811392,1
"8150015148414","8145015883678","81",1.6979687557067,1
"8150015148414","8150014633182","81",1.68431258831874,1
"8150015338673","8145015121019","81",1.75150129665221,1
"8150015338673","8145015860404","81",1.97893750363083,1
"8150015338673","8145015860408","81",1.84559512683085,1
"8150015338674","8145013849260","81",1.56546761978465,1
"8150015338674","8145014654199","81",1.56622043471652,1
"8150015338674","8145015883689","81",1.59286960431918,1
"8150015338675","8110016742266","81",1.8741583700023,1
"8150015338675","8145015883688","81",1.87707953665243,1
"8150015338675","8150015136282","81",1.47226826992472,1
"8150015338677","8145014654199","81",1.52557421528195,1
"8150015338677","8145015883689","81",1.56071729342735,1
"8150015338677","8145016008837","81",1.57448859750403,1
"8150015737424","8130996633303","81",1.2493821492147,1
"8150015737424","8145015620607","81",0.98335955274242,1
"8150015737424","8150014633182","81",1.37612902965698,1
"8150015741682","8145015120923","81",1.12849850654071,1
"8150015741682","8145015860404","81",1.12352758674018,1
"8150015741682","8150015136282","81",0.735881985390498,1
