"treated_nsn","donor_nsn","fsg","mahalanobis_distance","match_weight"
"2895145543146","1730015261830","17",0.588214439131552,1
"2895145543146","5935014449281","59",0.785899773837569,1
"2895145543146","6150011380360","61",0.498064319514002,1
"3990015742050","2590991680642","25",0.569847951460539,1
"3990015742050","3040012486422","30",0.612610382046555,1
"3990015742050","3040016087556","30",0.361986759713949,1
"4240015387970","1560013801492","15",0.149258981239294,1
"4240015387970","4730004121795","47",0.113694460342339,1
"4240015387970","5340013543645","53",0.176361277847942,1
"4510015272274","1240200045448","12",0.873170427288042,1
"4510015272274","5340171135592","53",0.799251989226934,1
"4510015272274","6110015211001","61",0.776024658259534,1
"8150014633177","8145015121019","81",0.892574639837879,1
"8150014633177","8145015860404","81",1.07381045613523,1
"8150014633177","8145015860408","81",0.868007336597374,1
"8150014638553","2610124011831","26",1.21905194110212,1
"8150014638553","6515014196393","65",1.18665889051998,1
"8150014638553","6625013128743","66",1.18893636866346,1
"8150014638555","2540219064667","25",0.894441457030254,1
"8150014638555","8145015120923","81",0.712626620774489,1
"8150014638555","8150015136282","81",0.696029876080327,1
"8150014813740","2520998526081","25",0.581646645580467,1
"8150014813740","2815150685580","28",0.471688077177037,1
"8150014813740","4730200040373","47",0.57940851617925,1
"8150014813741","4440012732564","44",1.03190669494077,1
"8150014813741","8145015121019","81",1.0883693564583,1
"8150014813741","8145015860404","81",1.07767915041482,1
"8150014839115","4330011943645","43",0.493048035367971,1
"8150014839115","6625012468869","66",0.448962449200795,1
"8150014839115","7025014560446","70",0.410891133914172,1
"8150014839121","3040013012861","30",0.196130507751858,1
"8150014839121","3110015106694","31",0.119588728514254,1
"8150014839121","5340015407890","53",0.190341990491948,1
"8150014839123","4420015068627","44",1.34246160164662,1
"8150014839123","6150014962668","61",1.24783091158922,1
"8150014839123","6680016160932","66",1.13766181324578,1
"8150014839125","2815151205803","28",1.03007275128093,1
"8150014839125","4440012732564","44",0.993824983246186,1
"8150014839125","6665124000688","66",0.986096231727921,1
"8150014912678","5930996677233","59",1.17597585112974,1
"8150014912678","8145015860404","81",1.43053054401,1
"8150014912678","8145015860408","81",1.40999948496324,1
"8150015012741","4440012732564","44",1.05753361268639,1
"8150015012741","4920009691373","49",0.969900094952565,1
"8150015012741","6665124000688","66",1.14040144045321,1
"8150015134913","2520998526081","25",0.307866248008057,1
"8150015134913","4320016581109","43",0.711683451027473,1
"8150015134913","5998124019768","59",0.677448652700621,1
"8150015148414","4330013130046","43",1.18536236242302,1
"8150015148414","6130200016268","61",1.14540923337138,1
"8150015148414","6680016160932","66",1.22909443932663,1
"8150015338673","2610015840041","26",1.62677769429902,1
"8150015338673","6140200109243","61",1.70220040467646,1
"8150015338673","6665124000688","66",1.67207588688199,1
"8150015338674","4420014830391","44",0.994223369588721,1
"8150015338674","4920009691373","49",1.20785504952065,1
"8150015338674","6625013128743","66",1.10839323278743,1
"8150015338675","2530016101209","25",0.438659627323684,1
"8150015338675","2910016158939","29",0.648009414235704,1
"8150015338675","3040015483713","30",0.646423987477709,1
"8150015338677","2930011579016","29",1.14686394985253,1
"8150015338677","6515014196393","65",1.15563363143401,1
"8150015338677","6665124000688","66",1.23740891084844,1
"8150015737424","3130015970736","31",0.0271077150475799,1
"8150015737424","5895015385830","58",0.471847024124798,1
"8150015737424","6130992564692","61",0.447701412069621,1
"8150015741682","5340015357837","53",0.906109738693138,1
"8150015741682","6150016286217","61",0.883252061879914,1
"8150015741682","8150015136282","81",0.735881985390498,1
