"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2026/02/26","SPE8ED26P0553","","0001","8145-01-586-0404","8,954.00","2","54TC1","SHARKCAGE INC."
"2025/12/22","SPE8ED26V0110","","0001","8145-01-586-0404","8,954.00","5","54TC1","SHARKCAGE INC."
"2025/11/24","SPE8ED26P0228","","0001","8145-01-586-0404","8,954.00","3","54TC1","SHARKCAGE INC."
"2025/10/29","SPE8ED26P0135","","0001","8145-01-586-0404","8,954.00","8","54TC1","SHARKCAGE INC."
"2025/10/20","SPE8ED26V0046","","0001","8145-01-586-0404","8,954.00","3","54TC1","SHARKCAGE INC."
"2025/10/14","SPE8ED26V0035","","0001","8145-01-586-0404","8,954.00","2","54TC1","SHARKCAGE INC."
"2025/09/22","SPE8ED25P1696","","0001","8145-01-586-0404","8,954.00","4","54TC1","SHARKCAGE INC."
"2025/09/18","SPE8ED25P1685","","0001","8145-01-586-0404","8,954.00","3","54TC1","SHARKCAGE INC."
"2025/06/26","SPE8ED25V0560","","0001","8145-01-586-0404","8,954.00","2","54TC1","SHARKCAGE INC."
"2025/06/24","SPE8ED25P1028","","0001","8145-01-586-0404","7,969.00","2","54TC1","SHARKCAGE INC."
"2025/05/27","SPE8ED25V0504","","0001","8145-01-586-0404","8,954.00","2","54TC1","SHARKCAGE INC."
"2025/05/12","SPE8ED25P1080","","0001","8145-01-586-0404","7,969.00","3","54TC1","SHARKCAGE INC."
"2025/04/17","SPE8ED25V0433","","0002","8145-01-586-0404","7,969.00","1","54TC1","SHARKCAGE INC."
"2025/04/17","SPE8ED25V0433","","0001","8145-01-586-0404","7,969.00","3","54TC1","SHARKCAGE INC."
"2025/02/24","SPE8ED25V0355","","0001","8145-01-586-0404","7,969.00","3","54TC1","SHARKCAGE INC."
"2025/02/18","SPE8ED25V0340","","0001","8145-01-586-0404","7,969.00","4","54TC1","SHARKCAGE INC."
"2024/12/26","SPE8ED25P0405","","0004","8145-01-586-0404","7,969.00","2","54TC1","SHARKCAGE INC."
"2024/12/26","SPE8ED25P0405","","0001","8145-01-586-0404","7,969.00","3","54TC1","SHARKCAGE INC."
"2024/12/26","SPE8ED25P0405","","0002","8145-01-586-0404","7,969.00","4","54TC1","SHARKCAGE INC."
"2024/12/26","SPE8ED25P0405","","0003","8145-01-586-0404","7,969.00","4","54TC1","SHARKCAGE INC."
"2024/12/10","SPE8ED25P0353","","0003","8145-01-586-0404","7,969.00","1","54TC1","SHARKCAGE INC."
"2024/12/10","SPE8ED25P0353","","0002","8145-01-586-0404","7,969.00","2","54TC1","SHARKCAGE INC."
"2024/12/10","SPE8ED25P0353","","0001","8145-01-586-0404","7,969.00","3","54TC1","SHARKCAGE INC."
"2024/12/02","SPE8ED25V0164","","0001","8145-01-586-0404","7,969.00","2","54TC1","SHARKCAGE INC."
"2024/11/12","SPE8ED25P0229","","0001","8145-01-586-0404","7,969.00","3","54TC1","SHARKCAGE INC."
"2024/11/07","SPE8ED25V0130","","0001","8145-01-586-0404","7,969.00","1","54TC1","SHARKCAGE INC."
"2024/10/07","SPE8ED25V0023","","0001","8145-01-586-0404","7,969.00","1","54TC1","SHARKCAGE INC."
"2024/07/01","SPE8ED24V0450","","0001","8145-01-586-0404","7,969.00","2","54TC1","SHARKCAGE INC."
"2024/04/08","SPE8ED24V0309","","0001","8145-01-586-0404","7,999.00","1","54TC1","SHARKCAGE INC."
"2024/03/11","SPE8ED24V0280","","0001","8145-01-586-0404","7,999.00","4","54TC1","SHARKCAGE INC."
"2024/02/12","SPE8ED24V0217","","0001","8145-01-586-0404","7,575.00","5","54TC1","SHARKCAGE INC."
"2024/01/05","SPE8ED24V0161","","0001","8145-01-586-0404","7,575.00","6","54TC1","SHARKCAGE INC."
"2024/01/05","SPE8ED24V0161","","0002","8145-01-586-0404","7,575.00","10","54TC1","SHARKCAGE INC."
