"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2019/07/02","SPRPA114G003X","SPE4A519F859X","0001","1620-01-221-2629","24,156.81","19","45934","ONTIC ENGINEERING AND MANUFACT"
"2017/07/12","SPRPA114G003X","Z6J1","0001","1620-01-221-2629","21,941.57","19","45934","ONTIC ENGINEERING AND MANUFACT"
"2016/04/28","SPRPA114G003X","Z65F","0001","1620-01-221-2629","21,106.14","16","45934","ONTIC ENGINEERING AND MANUFACT"
"2011/04/28","SPM4A611MKC19","","0001","1620-01-221-2629","5,671.51","2","3BQS1","WKF FRIEDMAN ENTERPRISES INC."
"2010/12/21","SPM4A511MB148","4516470686","0001","1620-01-221-2629","5,281.00","5","58985","AVIARMS SUPPORT CORP"
"2010/03/02","SPM4A510M5851","4513524863","0001","1620-01-221-2629","4,600.00","13","1HC54","LOBO VENTURES LTD. DBA PRECISI"
"2009/10/09","SPM4A510M0159","4512219161","0001","1620-01-221-2629","4,295.00","15","1Y821","AIR SHUNT INSTRUMENTS INC."
"2009/04/30","SPM4A509M6664","4510681023","0001","1620-01-221-2629","4,242.00","3","58985","AVIARMS SUPPORT CORP"
"2008/04/02","SPM4A508M2488","4507226788","0001","1620-01-221-2629","4,160.00","4","5V361","BROWN HELICOPTER INC."
"2007/10/12","SPM4A508M0030","4505822577","0001","1620-01-221-2629","3,980.00","5","5V361","BROWN HELICOPTER INC."
"2007/05/09","SPM4A507M2758","4504495153","0001","1620-01-221-2629","3,700.00","3","7N929","PRIDE ELECTRONICS INC."
"2006/05/19","SP040506M2766","MODF","0001","1620-01-221-2629","3,725.00","1","7N929","PRIDE ELECTRONICS INC."
"1990/10/24","N0038388GB404","0181","0008AA","-01-221-2629","0.00","0","13002","GOODRICH CORPORATION DBA GOODR"
