"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2023/04/27","SPE8ED23P0707","","0001","8145-01-603-5483","99,521.00","1","DL435","B UND T MARKETING GMBH DBA B A"
"2022/12/22","SPE8ED23P0295","","0001","8145-01-603-5483","99,521.00","1","DL435","B UND T MARKETING GMBH DBA B A"
"2022/12/09","SPE8ED23P0261","","0001","8145-01-603-5483","99,521.00","1","DL435","B UND T MARKETING GMBH DBA B A"
"2021/06/22","SPE8ED21P1076","","0001","8145-01-603-5483","98,344.08","6","DL435","B UND T MARKETING GMBH DBA B A"
"2021/04/30","SPE8ED21P0909","","0001","8145-01-603-5483","99,337.45","1","DL435","B UND T MARKETING GMBH DBA B A"
"2020/09/11","SPE8ED20P1382","","0001","8145-01-603-5483","96,337.45","3","DL435","B UND T MARKETING GMBH DBA B A"
"2019/08/29","SPE8ED19P1168","","0001","8145-01-603-5483","101,337.45","2","DL435","B UND T MARKETING GMBH DBA B A"
"2019/08/23","SPE8ED19P1126","","0001","8145-01-603-5483","101,337.45","2","DL435","B UND T MARKETING GMBH DBA B A"
"2019/03/13","SPE8ED19P0579","","0001","8145-01-603-5483","114,122.25","1","DL435","B UND T MARKETING GMBH DBA B A"
"2019/02/21","SPE8ED19P0507","","0001","8145-01-603-5483","97,537.45","3","DL435","B UND T MARKETING GMBH DBA B A"
"2018/12/10","SPE8ED19P0275","","0001","8145-01-603-5483","96,337.45","1","DL435","B UND T MARKETING GMBH DBA B A"
"2018/10/30","SPE8ED19P0142","","0002","8145-01-603-5483","96,337.45","1","DL435","B UND T MARKETING GMBH DBA B A"
"2018/10/30","SPE8ED19P0142","","0001","8145-01-603-5483","96,337.45","1","DL435","B UND T MARKETING GMBH DBA B A"
"2018/03/29","SPE8ED18P0669","","0001","8145-01-603-5483","94,853.43","1","DL435","B UND T MARKETING GMBH DBA B A"
"2018/03/26","SPE8ED18P0664","","0001","8145-01-603-5483","94,853.46","1","DL435","B UND T MARKETING GMBH DBA B A"
"2018/03/26","SPE8ED18P0576","","0001","8145-01-603-5483","94,853.43","1","DL435","B UND T MARKETING GMBH DBA B A"
"2018/03/15","SPE8ED18P0627","","0001","8145-01-603-5483","94,853.46","1","DL435","B UND T MARKETING GMBH DBA B A"
"2018/03/07","SPE8ED18P0591","","0001","8145-01-603-5483","94,853.43","1","DL435","B UND T MARKETING GMBH DBA B A"
