"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2026/02/27","SPE8ED26P0555","","0001","8145-01-628-2425","78,729.09","1","57AD8","SANITZ ENTERPRISES, INC."
"2026/02/18","SPE8ED26P0489","","0001","8145-01-628-2425","78,729.09","1","57AD8","SANITZ ENTERPRISES, INC."
"2026/02/18","SPE8ED26P0489","","0002","8145-01-628-2425","78,729.09","1","57AD8","SANITZ ENTERPRISES, INC."
"2026/01/27","SPE8ED26P0422","","0001","8145-01-628-2425","78,729.09","1","57AD8","SANITZ ENTERPRISES, INC."
"2026/01/27","SPE8ED26P0422","","0002","8145-01-628-2425","78,729.09","1","57AD8","SANITZ ENTERPRISES, INC."
"2025/12/04","SPE8ED26P0253","","0001","8145-01-628-2425","78,729.09","1","57AD8","SANITZ ENTERPRISES, INC."
"2025/10/16","SPE8ED26P0078","","0001","8145-01-628-2425","78,729.09","1","57AD8","SANITZ ENTERPRISES, INC."
"2025/08/28","SPE8ED25P1594","","0001","8145-01-628-2425","78,729.09","1","57AD8","SANITZ ENTERPRISES, INC."
"2025/08/28","SPE8ED25P1594","","0002","8145-01-628-2425","78,729.09","1","57AD8","SANITZ ENTERPRISES, INC."
"2025/02/13","SPE8ED25P0579","","0001","8145-01-628-2425","78,729.09","1","57AD8","SANITZ ENTERPRISES, INC."
"2024/10/03","SPE8ED25P0059","","0001","8145-01-628-2425","74,713.91","1","57AD8","SANITZ ENTERPRISES, INC."
"2024/10/03","SPE8ED25P0059","","0002","8145-01-628-2425","74,713.91","1","57AD8","SANITZ ENTERPRISES, INC."
"2024/10/03","SPE8ED25P0059","","0003","8145-01-628-2425","74,713.91","1","57AD8","SANITZ ENTERPRISES, INC."
"2024/10/03","SPE8ED25P0059","","0004","8145-01-628-2425","74,713.91","1","57AD8","SANITZ ENTERPRISES, INC."
"2024/10/03","SPE8ED25P0059","","0005","8145-01-628-2425","74,713.91","1","57AD8","SANITZ ENTERPRISES, INC."
"2024/10/03","SPE8ED25P0059","","0006","8145-01-628-2425","74,713.91","1","57AD8","SANITZ ENTERPRISES, INC."
"2024/10/03","SPE8ED25P0059","","0007","8145-01-628-2425","74,713.91","1","57AD8","SANITZ ENTERPRISES, INC."
"2024/10/03","SPE8ED25P0059","","0008","8145-01-628-2425","74,713.91","1","57AD8","SANITZ ENTERPRISES, INC."
