"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2025/06/03","SPE8ED25P1193","","0003","8145-01-606-2895","68,098.00","1","8H8D3","SOLUTIONS FTG, INC."
"2025/06/03","SPE8ED25P1193","","0002","8145-01-606-2895","68,098.00","1","8H8D3","SOLUTIONS FTG, INC."
"2025/06/03","SPE8ED25P1193","","0001","8145-01-606-2895","68,098.00","1","8H8D3","SOLUTIONS FTG, INC."
"2025/04/30","SPE8ED25P0978","","0003","8145-01-606-2895","68,098.00","1","8H8D3","SOLUTIONS FTG, INC."
"2025/04/30","SPE8ED25P0978","","0002","8145-01-606-2895","68,098.00","1","8H8D3","SOLUTIONS FTG, INC."
"2025/04/30","SPE8ED25P0978","","0001","8145-01-606-2895","68,098.00","1","8H8D3","SOLUTIONS FTG, INC."
"2023/08/11","SPE8ED23P0973","","0004","8145-01-606-2895","42,366.35","1","8H8D3","SOLUTIONS FTG, INC."
"2023/08/11","SPE8ED23P0973","","0002","8145-01-606-2895","68,098.00","1","8H8D3","SOLUTIONS FTG, INC."
"2023/08/11","SPE8ED23P0973","","0001","8145-01-606-2895","68,098.00","1","8H8D3","SOLUTIONS FTG, INC."
"2023/08/11","SPE8ED23P0973","","0003","8145-01-606-2895","42,366.35","1","8H8D3","SOLUTIONS FTG, INC."
"2023/02/28","SPE8ED23P0500","","0001","8145-01-606-2895","68,098.00","1","8H8D3","SOLUTIONS FTG, INC."
"2023/02/28","SPE8ED23P0500","","0002","8145-01-606-2895","42,366.35","2","8H8D3","SOLUTIONS FTG, INC."
"2023/02/28","SPE8ED23P0500","","0003","8145-01-606-2895","68,098.00","1","8H8D3","SOLUTIONS FTG, INC."
"2022/02/04","SPE8ED22P0424","","0002","8145-01-606-2895","68,098.00","1","1CVY3","SESOLINC GRP, INC."
"2022/02/04","SPE8ED22P0424","","0001","8145-01-606-2895","68,098.00","1","1CVY3","SESOLINC GRP, INC."
"2022/02/04","SPE8ED22P0424","","0003","8145-01-606-2895","42,366.35","2","1CVY3","SESOLINC GRP, INC."
"2017/12/14","SPE8ED18P0393","","0001","8145-01-606-2895","59,216.76","1","1CVY3","SESOLINC GRP, INC."
"2017/10/04","SPE8ED18P0091","","0001","8145-01-606-2895","59,216.76","1","1CVY3","SESOLINC GRP, INC."
"2017/09/13","SPE8ED17P1331","","0002","8145-01-606-2895","59,216.76","1","1CVY3","SESOLINC GRP, INC."
"2017/09/13","SPE8ED17P1331","","0001","8145-01-606-2895","59,216.76","1","1CVY3","SESOLINC GRP, INC."
"2017/09/08","SPE8ED17P1288","","0002","8145-01-606-2895","59,216.76","1","1CVY3","SESOLINC GRP, INC."
"2017/09/08","SPE8ED17P1288","","0001","8145-01-606-2895","59,216.76","1","1CVY3","SESOLINC GRP, INC."
"2017/08/28","SPE8ED17P1260","","0001","8145-01-606-2895","59,216.76","1","1CVY3","SESOLINC GRP, INC."
"2017/04/05","SPE8ED17P0691","","0001","8145-01-606-2895","62,916.76","1","1CVY3","SESOLINC GRP, INC."
"2017/03/03","SPE8ED17P7036","","0001","8145-01-606-2895","61,291.76","2","1CVY3","SESOLINC GRP, INC."
