"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2025/07/17","SPE4AX22D0008","SPE4AX25F5931","0001","2945-00-127-7218","5,795.76","3","59364","HONEYWELL INTERNATIONAL INC."
"2024/12/16","SPE4A122G0015","SPE4A625F2919","0001","2945-00-127-7218","3,466.15","4","59364","HONEYWELL INTERNATIONAL INC."
"2024/03/04","SPE4A122G0014","SPE4A524F6919","0001","2945-00-127-7218","3,466.15","13","59364","HONEYWELL INTERNATIONAL INC."
"2024/03/04","SPE4A122G0014","SPE4A524F6919","0002","2945-00-127-7218","3,466.15","3","59364","HONEYWELL INTERNATIONAL INC."
"2023/11/08","SPE4A122G0014","SPE4A624F2318","0001","2945-00-127-7218","3,466.15","9","59364","HONEYWELL INTERNATIONAL INC."
"2022/03/24","SPE4A117G0016","SPE4A122F0564","0002","2945-00-127-7218","3,234.05","6","59364","HONEYWELL INTERNATIONAL INC."
"2022/03/24","SPE4A117G0016","SPE4A122F0564","0001","2945-00-127-7218","3,234.05","10","59364","HONEYWELL INTERNATIONAL INC."
"2021/05/05","SPE4A117G0016","SPE4A121F0544","0003","2945-00-127-7218","3,260.00","7","59364","HONEYWELL INTERNATIONAL INC."
"2021/05/05","SPE4A117G0016","SPE4A121F0544","0001","2945-00-127-7218","3,260.00","10","59364","HONEYWELL INTERNATIONAL INC."
"2021/05/05","SPE4A117G0016","SPE4A121F0544","0002","2945-00-127-7218","3,260.00","10","59364","HONEYWELL INTERNATIONAL INC."
"2020/01/30","SPE4A520P2898","","0001","2945-00-127-7218","1,945.00","10","3BQS1","WKF (FRIEDMAN) ENTERPRISES, IN"
"2018/10/02","SPE4A519P0089","","0001","2945-00-127-7218","1,969.00","17","7FZU5","PREMIER MILITARY PARTS, LLC"
"2017/08/16","SPE4A517P9536","","0001","2945-00-127-7218","1,823.96","19","61LP1","SHORELINE AEROSPACE LLC"
"2017/06/29","SPE4A517P8173","","0001","2945-00-127-7218","511.00","15","3BQS1","WKF (FRIEDMAN) ENTERPRISES, IN"
"2016/01/22","SPM74001D9711","381E","0001","2945-00-127-7218","525.66","4","02LU7","HONEYWELL INTERNATIONAL INC. D"
"2015/12/11","SPM74001D9711","374E","0001","2945-00-127-7218","525.66","5","02LU7","HONEYWELL INTERNATIONAL INC. D"
"2015/07/17","SPM74001D9711","352T","0001","2945-00-127-7218","525.66","6","02LU7","HONEYWELL INTERNATIONAL INC. D"
"2010/04/08","SPM74001D9711","03VW","0001","2945-00-127-7218","500.84","7","02LU7","HONEYWELL INTERNATIONAL INC DI"
"2009/03/31","SPM74001D9711","4600055411","6988","2945-00-127-7218","484.37","1","02LU7","HONEYWELL INTERNATIONAL INC DI"
"2007/05/07","SPM74001D9711","4600043870","6988","2945-00-127-7218","472.10","10","02LU7","HONEYWELL INTERNATIONAL INC DI"
"2007/05/02","SPM74001D9711","4600043829","6988","2945-00-127-7218","472.10","1245","02LU7","HONEYWELL INTERNATIONAL INC DI"
"2002/09/05","SP070099G0010","Z63T","0001AC","2945-00-127-7218","223.01","31","02LU7","HONEYWELL INTERNATIONAL INC DI"
"2002/09/05","SP070099G0010","Z63T","0001AA","2945-00-127-7218","223.01","100","02LU7","HONEYWELL INTERNATIONAL INC DI"
"2002/09/05","SP070099G0010","Z63T","0001AB","2945-00-127-7218","223.01","100","02LU7","HONEYWELL INTERNATIONAL INC DI"
"2002/06/26","SP041102MEV52","MODF","0003","2945-00-127-7218","590.00","1","0RCJ0","WESTERN AIRPARTS CORPORATION"
"2002/06/26","SP041102MEV52","MODF","0002","2945-00-127-7218","590.00","1","0RCJ0","WESTERN AIRPARTS CORPORATION"
"2002/06/26","SP041102MEV52","MODF","0001","2945-00-127-7218","590.00","1","0RCJ0","WESTERN AIRPARTS CORPORATION"
"2002/06/14","SP048002MG458","MODF","0001","2945-00-127-7218","360.00","71","8X044","DERCO AEROSPACE INC."
"2000/10/27","SP070099G0010","Z112","0001","2945-00-127-7218","229.57","7","02LU7","HONEYWELL INTERNATIONAL INC DI"
"2000/10/27","SP070099G0010","Z112","0002","2945-00-127-7218","229.57","51","02LU7","HONEYWELL INTERNATIONAL INC DI"
