outcome,post_label,post_threshold,n_treated,att,se,ci_low,ci_high,t_stat
domestic_share,ey2plus,2,2,0.1113425925925925,0.48865740740740743,-6.097638471774255,6.32032365695944,0.22785409758408315
max_log_unit_price,ey2plus,2,2,-0.34886158003726697,0.07203472643247401,-1.2641495622026167,0.5664264021280827,-4.842963905253294
mean_offers,ey2plus,2,2,0.68994708994709,2.4029100529100496,-29.841920004940366,31.221814184834546,0.28712980292854823
domestic_share,headline,0,5,-0.4221296296296296,0.21861424849114258,-1.0291000897793565,0.1848408305200973,-1.930933745367163
max_log_unit_price,headline,0,5,0.1756024133182202,0.4765792317486401,-1.1475936619092164,1.4987984885456567,0.3684642586583323
mean_offers,headline,0,5,-1.4397354497354564,3.7279173987417233,-11.790093464053605,8.910622564582692,-0.3862036884780246
