"outcome","post_label","post_threshold","n_treated","att","se","ci_low","ci_high","t_stat"
"max_log_unit_price","headline",0,23,-0.190245203038416,0.0484540196198587,-0.290732689359734,-0.0897577167170976,-3.92630383466565
"mean_offers","headline",0,23,-0.116197984082694,0.751117699869119,-1.67392075266728,1.44152478450189,-0.154700101066639
"domestic_share","headline",0,23,-0.371157476209612,0.0761566001011604,-0.529096598102545,-0.213218354316678,-4.87360879709172
"max_log_unit_price","ey2plus",2,13,-0.250603022215429,0.0469891643391341,-0.352983616332876,-0.148222428097981,-5.33320874588779
"mean_offers","ey2plus",2,13,0.118654933489945,0.335382730522549,-0.612081262621411,0.849391129601301,0.353789634025201
"domestic_share","ey2plus",2,13,-0.327633572311861,0.110951538629344,-0.569376208148796,-0.0858909364749264,-2.95294302683252
