"treated_nsn","delta_treated","pre_treated","post_treated","delta_donor","n_donors","sum_w","tau","outcome","post_label","post_threshold"
"2895145543146",-0.000575639797226302,8.32059756116917,8.32002192137195,0.32194957279167,3,3,-0.322525212588896,"max_log_unit_price","headline",0
"3990015742050",-0.20170420521686,7.39927027365633,7.19756606843947,0.271812680943869,3,3,-0.473516886160729,"max_log_unit_price","headline",0
"4240015387970",0.610887690169359,2.19911723345584,2.8100049236252,0.206448786374494,3,3,0.404438903794865,"max_log_unit_price","headline",0
"4510015272274",0.229273479696275,5.88154513282101,6.11081861251729,0.271261683535002,3,3,-0.0419882038387269,"max_log_unit_price","headline",0
"8150014633177",0.280195944814883,8.57335580752471,8.85355175233959,0.447037970742124,3,3,-0.166842025927241,"max_log_unit_price","headline",0
"8150014638553",0.22775803600614,8.72999485695853,8.95775289296467,0.17280336833012,3,3,0.0549546676760201,"max_log_unit_price","headline",0
"8150014638555",0.146781322899072,9.17286126470318,9.31964258760225,0.277845629043692,3,3,-0.13106430614462,"max_log_unit_price","headline",0
"8150014813740",0.515415407763868,8.88515946464924,9.40057487241311,0.337385335799533,3,3,0.178030071964335,"max_log_unit_price","headline",0
"8150014813741",0.28951032323118,8.93820920754563,9.22771953077681,0.5076873853162,3,3,-0.21817706208502,"max_log_unit_price","headline",0
"8150014839115",0.0916516945437369,8.63643768652483,8.72808938106856,0.137595822514221,3,3,-0.0459441279704844,"max_log_unit_price","headline",0
"8150014839121",0.380892365708945,8.84384388655097,9.22473625225991,0.0209030564188097,3,3,0.359989309290135,"max_log_unit_price","headline",0
"8150014839123",0.159080036801605,8.88118903496988,9.04026907177149,0.207204783134082,3,3,-0.0481247463324769,"max_log_unit_price","headline",0
"8150014839125",0.0789503813335877,8.94461738477631,9.0235677661099,0.300247373787755,3,3,-0.221296992454167,"max_log_unit_price","headline",0
"8150014912678",-0.019925790445928,9.24077965335507,9.22085386290914,0.344772006421676,3,3,-0.364697796867604,"max_log_unit_price","headline",0
"8150015012741",0.143110175320471,9.14982516276879,9.29293533808926,0.426167660275675,3,3,-0.283057484955204,"max_log_unit_price","headline",0
"8150015134913",0.161351613228716,9.47136764537032,9.63271925859904,0.187051764518136,3,3,-0.02570015128942,"max_log_unit_price","headline",0
"8150015148414",0.0351066338825667,9.26082914501028,9.29593577889285,0.303343726272226,3,3,-0.268237092389659,"max_log_unit_price","headline",0
"8150015338673",-0.0806853382703459,8.96084375320388,8.88015841493354,0.0921424711407507,3,3,-0.172827809411096,"max_log_unit_price","headline",0
"8150015338674",0.0794583445323926,8.87351751130102,8.95297585583341,0.44260164542608,3,3,-0.363143300893687,"max_log_unit_price","headline",0
"8150015338675",0.121506957617624,8.67007603021,8.79158298782762,0.0794834296336558,3,3,0.0420235279839686,"max_log_unit_price","headline",0
"8150015338677",-0.0439654950593447,8.83842576132387,8.79446026626453,0.0875173680093268,3,3,-0.131482863068671,"max_log_unit_price","headline",0
"8150015737424",-0.309908325198009,9.35761211369664,9.04770378849863,0.372786932692306,3,3,-0.682695257890315,"max_log_unit_price","headline",0
"8150015741682",0.104623423032901,8.88214012401976,8.98676354705266,0.232873161058791,3,3,-0.12824973802589,"max_log_unit_price","headline",0
"2895145543146",-21.5,24.5,3,-9.35,3,3,-12.15,"mean_offers","headline",0
"3990015742050",-0.583333333333333,2.08333333333333,1.5,0.670701058201058,3,3,-1.25403439153439,"mean_offers","headline",0
"4240015387970",10.125,8.375,18.5,-2.675,2,2,12.8,"mean_offers","headline",0
"4510015272274",-5.46666666666667,14.8,9.33333333333333,-3.46875,2,2,-1.99791666666667,"mean_offers","headline",0
"8150014633177",-0.567342641255685,3.19432676823981,2.62698412698413,-0.0339109932213381,3,3,-0.533431648034347,"mean_offers","headline",0
"8150014638553",-0.451906702898551,3.86076086956522,3.40885416666667,4.33346384008149,2,2,-4.78537054298004,"mean_offers","headline",0
"8150014638555",-1.11951144094001,3.89332096474954,2.77380952380952,0.371777869396917,3,3,-1.49128931033693,"mean_offers","headline",0
"8150014813740",0.373737373737374,2,2.37373737373737,-0.553758818342152,3,3,0.927496192079525,"mean_offers","headline",0
"8150014813741",-0.534199134199134,2.56753246753247,2.03333333333333,-0.0453798185941044,3,3,-0.48881931560503,"mean_offers","headline",0
"8150014839115",1.03809523809524,2.26190476190476,3.3,2.51759259259259,3,3,-1.47949735449735,"mean_offers","headline",0
"8150014839121",0.385416666666667,2.11458333333333,2.5,-1,1,1,1.38541666666667,"mean_offers","headline",0
"8150014839123",0.821286370634197,2.19458319458319,3.01586956521739,-0.4,1,1,1.2212863706342,"mean_offers","headline",0
"8150014839125",-0.00247252747252746,2.53580586080586,2.53333333333333,-0.367615746014869,3,3,0.365143218542341,"mean_offers","headline",0
"8150014912678",-0.79426523297491,4.23870967741935,3.44444444444444,-0.186688770999116,3,3,-0.607576461975794,"mean_offers","headline",0
"8150015012741",-0.660510662177329,2.67606621773288,2.01555555555556,-0.942532467532468,3,3,0.282021805355139,"mean_offers","headline",0
"8150015134913",-0.375,2.95833333333333,2.58333333333333,-0.786458333333333,2,2,0.411458333333333,"mean_offers","headline",0
"8150015148414",-0.650614439324117,3.10061443932412,2.45,-0.468839285714286,2,2,-0.181775153609831,"mean_offers","headline",0
"8150015338673",0.302817535725144,2.61384913094152,2.91666666666667,-0.909702764083078,3,3,1.21252029980822,"mean_offers","headline",0
"8150015338674",-0.758257020757021,3.37075702075702,2.6125,1.31011378667629,3,3,-2.06837080743331,"mean_offers","headline",0
"8150015338675",0.298888888888889,2.54166666666667,2.84055555555556,0.840277777777778,2,2,-0.541388888888889,"mean_offers","headline",0
"8150015338677",-0.402124183006536,2.9437908496732,2.54166666666667,0.550296511480722,3,3,-0.952420694487258,"mean_offers","headline",0
"8150015737424",1.5,1.5,3,0,3,3,1.5,"mean_offers","headline",0
"8150015741682",-0.0083333333333333,2.39351851851852,2.38518518518519,0.0122023809523809,3,3,-0.0205357142857142,"mean_offers","headline",0
"2895145543146",-1,1,0,0,3,3,-1,"domestic_share","headline",0
"3990015742050",-0.395833333333333,0.395833333333333,0,-0.122448979591837,3,3,-0.273384353741497,"domestic_share","headline",0
"4240015387970",-1,1,0,0,3,3,-1,"domestic_share","headline",0
"4510015272274",-0.0666666666666667,0.4,0.333333333333333,-0.306481481481481,3,3,0.239814814814815,"domestic_share","headline",0
"8150014633177",-0.45982905982906,0.45982905982906,0,-0.358447606315253,3,3,-0.101381453513806,"domestic_share","headline",0
"8150014638553",-0.680050465838509,0.726925465838509,0.046875,0.0823409161644456,3,3,-0.762391382002955,"domestic_share","headline",0
"8150014638555",-0.347402597402597,0.347402597402597,0,-0.162698412698413,3,3,-0.184704184704185,"domestic_share","headline",0
"8150014813740",-0.0694444444444444,0.236111111111111,0.166666666666667,0.117592592592593,3,3,-0.187037037037037,"domestic_share","headline",0
"8150014813741",-0.515384615384615,0.515384615384615,0,-0.0791161686119669,3,3,-0.436268446772648,"domestic_share","headline",0
"8150014839115",-0.857142857142857,0.857142857142857,0,-0.220138888888889,3,3,-0.637003968253968,"domestic_share","headline",0
"8150014839121",-1,1,0,0,3,3,-1,"domestic_share","headline",0
"8150014839123",-0.715384615384615,0.715384615384615,0,0.193333333333333,3,3,-0.908717948717949,"domestic_share","headline",0
"8150014839125",-0.587912087912088,0.587912087912088,0,-0.0793896743823644,3,3,-0.508522413529723,"domestic_share","headline",0
"8150014912678",-0.186666666666667,0.52,0.333333333333333,-0.411288515406162,3,3,0.224621848739496,"domestic_share","headline",0
"8150015012741",-0.563535353535354,0.603535353535354,0.04,0.232383357383357,3,3,-0.795918710918711,"domestic_share","headline",0
"8150015134913",-0.15,0.15,0,0.166666666666667,3,3,-0.316666666666667,"domestic_share","headline",0
"8150015148414",-0.692780337941628,0.692780337941628,0,-0.319814814814815,3,3,-0.372965523126813,"domestic_share","headline",0
"8150015338673",-0.446042046721395,0.446042046721395,0,-0.0720317594606376,3,3,-0.374010287260757,"domestic_share","headline",0
"8150015338674",-0.497466422466422,0.722466422466422,0.225,-0.238429683742184,3,3,-0.259036738724239,"domestic_share","headline",0
"8150015338675",-0.65,0.65,0,-0.27962962962963,3,3,-0.37037037037037,"domestic_share","headline",0
"8150015338677",-0.719444444444444,0.719444444444444,0,-0.11008669084327,3,3,-0.609357753601175,"domestic_share","headline",0
"8150015737424",-0.5,0.5,0,0.125,3,3,-0.625,"domestic_share","headline",0
"8150015741682",-0.333333333333333,0.333333333333333,0,-0.0178571428571429,3,3,-0.31547619047619,"domestic_share","headline",0
"3990015742050",-0.114792355431682,7.39927027365633,7.28447791822465,0.419371782400162,3,3,-0.534164137831844,"max_log_unit_price","ey2plus",2
"4510015272274",0.270740653523787,5.88154513282101,6.1522857863448,0.312574581597028,3,3,-0.0418339280732409,"max_log_unit_price","ey2plus",2
"8150014633177",0.00756307477207052,8.57335580752471,8.58091888229678,0.513043378741344,3,3,-0.505480303969274,"max_log_unit_price","ey2plus",2
"8150014638553",0.115660676563499,8.72999485695853,8.84565553352203,0.190185361720533,3,3,-0.0745246851570342,"max_log_unit_price","ey2plus",2
"8150014638555",0.251622276389915,9.17286126470318,9.42448354109309,0.372283246333766,3,3,-0.120660969943851,"max_log_unit_price","ey2plus",2
"8150014813741",0.491828785340465,8.93820920754563,9.43003799288609,0.601097179118717,3,3,-0.109268393778252,"max_log_unit_price","ey2plus",2
"8150014839115",0.0276031085239872,8.63643768652483,8.66404079504881,0.246513011535932,3,3,-0.218909903011945,"max_log_unit_price","ey2plus",2
"8150014839123",0.372109337732052,8.88118903496988,9.25329837270193,0.248116988843385,3,3,0.123992348888667,"max_log_unit_price","ey2plus",2
"8150014912678",0.20328806347497,9.24077965335507,9.44406771683004,0.391944840028283,3,3,-0.188656776553313,"max_log_unit_price","ey2plus",2
"8150015012741",0.1868835080222,9.14982516276879,9.33670867079099,0.567003260528508,3,3,-0.380119752506308,"max_log_unit_price","ey2plus",2
"8150015148414",0.0204713544759496,9.26082914501028,9.28130049948623,0.315613676319893,3,3,-0.295142321843943,"max_log_unit_price","ey2plus",2
"8150015338674",0.0929662677634138,8.87351751130102,8.96648377906443,0.594932695683818,3,3,-0.501966427920404,"max_log_unit_price","ey2plus",2
"8150015338675",0.213148200068995,8.67007603021,8.88322423027899,-0.056063646986579,3,3,0.269211847055574,"max_log_unit_price","ey2plus",2
"4510015272274",-2.8,14.8,12,-0.111111111111111,1,1,-2.68888888888889,"mean_offers","ey2plus",2
"8150014633177",-0.694326768239812,3.19432676823981,2.5,-0.0281638667845565,3,3,-0.666162901455255,"mean_offers","ey2plus",2
"8150014638553",-0.422219202898551,3.86076086956522,3.43854166666667,3.66997177658942,2,2,-4.09219097948797,"mean_offers","ey2plus",2
"8150014638555",-1.22665429808287,3.89332096474954,2.66666666666667,-0.293788222359651,2,2,-0.932866075723219,"mean_offers","ey2plus",2
