"treated_nsn","donor_nsn","fsg","mahalanobis_distance","match_weight"
"1660016004909","1560008067161","15",0.000434324230357565,1
"1660016004909","5995016508660","59",0.00673099508105734,1
"1660016004909","6210016637264","62",0.0065779877169696,1
"2895145543146","1730015261830","17",0.544730011369394,1
"2895145543146","5935014449281","59",0.734371662534125,1
"2895145543146","6150011380360","61",0.465817701172168,1
"3990015742050","2590991680642","25",0.54219333561702,1
"3990015742050","3040012486422","30",0.594539978360438,1
"3990015742050","3040016087556","30",0.35930862930422,1
"4240015387970","4240012434201","42",0.131813163095699,1
"4240015387970","5306011429380","53",0.0173394688953526,1
"4240015387970","6220015053356","62",0.0389194916086953,1
"4510015272274","1240200045448","12",0.871513317043977,1
"4510015272274","5340171135592","53",0.798181314284832,1
"4510015272274","6110015211001","61",0.774007968537481,1
"8150014633177","8145015121019","81",0.900565879211353,1
"8150014633177","8145015860404","81",0.993841191180634,1
"8150014633177","8145015860408","81",0.782398082256592,1
"8150014638553","4010015972317","40",1.18029830104094,1
"8150014638553","6140015203331","61",1.11542513397559,1
"8150014638553","6625013128743","66",1.21251713664917,1
"8150014638555","2540219064667","25",0.921004652971635,1
"8150014638555","8145015120923","81",0.688534023331076,1
"8150014638555","8150015136282","81",0.676959017724673,1
"8150014813740","1095016460915","10",0.556274775661289,1
"8150014813740","2815150685580","28",0.559875725062408,1
"8150014813740","4730200040373","47",0.515028918029941,1
"8150014813741","8145015121019","81",1.06500796061075,1
"8150014813741","8145015860404","81",1.07181383867353,1
"8150014813741","8150015136282","81",0.782433995649801,1
"8150014839115","2540015239484","25",0.465789679960375,1
"8150014839115","4330011943645","43",0.322596307696508,1
"8150014839115","6625012468869","66",0.261861031501184,1
"8150014839121","2510014463535","25",0.219218461614729,1
"8150014839121","3110015106694","31",0.204573843027658,1
"8150014839121","7320014286487","73",0.198160665905404,1
"8150014839123","2610124011831","26",1.29255448734149,1
"8150014839123","6680016160932","66",1.24432888124526,1
"8150014839123","8150015136282","81",0.866151157759177,1
"8150014839125","4440012732564","44",1.06359470036246,1
"8150014839125","6665124000688","66",0.950201708125248,1
"8150014839125","8150015864979","81",1.06388292213705,1
"8150014886545","2590991680642","25",0.511588226615449,1
"8150014886545","3120013519365","31",0.631127540818779,1
"8150014886545","5340014766067","53",0.618138910096348,1
"8150014912678","5930996677233","59",1.27582907382737,1
"8150014912678","8145015860408","81",1.27878615695548,1
"8150014912678","8150015136282","81",0.901162780491773,1
"8150014912727","3120013519366","31",0.455289278950744,1
"8150014912727","4320012431951","43",0.543689097889808,1
"8150014912727","4820012451435","48",0.579958461860394,1
"8150015012741","4440012732564","44",1.12916195868372,1
"8150015012741","4920009691373","49",1.06343319944849,1
"8150015012741","8150015136282","81",0.711746779603614,1
"8150015134913","2520998526081","25",0.214162400186586,1
"8150015134913","4320016581109","43",0.732319798595687,1
"8150015134913","5998124019768","59",0.755430576479829,1
"8150015148414","4330013130046","43",1.16123685873957,1
"8150015148414","6130200016268","61",1.13760999134766,1
"8150015148414","8150015136282","81",0.560607471674215,1
"8150015338673","2610015840041","26",1.6467194225167,1
"8150015338673","6140200109243","61",1.53160194925155,1
"8150015338673","8150015864979","81",0.491673220750932,1
"8150015338674","2610124011831","26",1.14641211268281,1
"8150015338674","4420014830391","44",1.08799117435331,1
"8150015338674","6625013128743","66",1.15428845436909,1
"8150015338675","2530016101209","25",0.452388189208114,1
"8150015338675","2910016158939","29",0.642591883621663,1
"8150015338675","3110014243347","31",0.657681925320284,1
"8150015338677","2610124011831","26",1.33355982096742,1
"8150015338677","6515014196393","65",1.32435673622398,1
"8150015338677","8150015864979","81",1.32862629936406,1
"8150015737424","3130015970736","31",0.15711030817738,1
"8150015737424","5895015385830","58",0.363581215838441,1
"8150015737424","6130992564692","61",0.524344531389925,1
"8150015741682","8145015120923","81",0.812817531817611,1
"8150015741682","8145015860404","81",0.773611480737151,1
"8150015741682","8150015136282","81",0.757784667198035,1
