"treated_nsn","donor_nsn","fsg","mahalanobis_distance","match_weight"
"1660016004909","1650010094748","16",0.0358269362623438,1
"1660016004909","1660013554456","16",0.12392108713244,1
"1660016004909","1680014183209","16",0.0364498324545703,1
"2895145543146","2815006798055","28",2.44146724900596,1
"2895145543146","2825007563888","28",3.51601490503296,1
"2895145543146","2835010380488","28",3.52201107909441,1
"3990015742050","3950015735565","39",2.35235442497086,1
"3990015742050","3990013328974","39",3.36730225479396,1
"3990015742050","3990015736697","39",2.0806021611286,1
"4240015387970","4210015525109","42",0.50739974749151,1
"4240015387970","4230012942118","42",0.396501816057581,1
"4240015387970","4240012434201","42",0.131813163095699,1
"4510015272274","4510010631899","45",3.51082961080979,1
"4510015272274","4510014330396","45",3.55654308699117,1
"4510015272274","4520013025301","45",3.50622821597829,1
"8150014633177","8145015121019","81",0.900565879211353,1
"8150014633177","8145015860404","81",0.993841191180634,1
"8150014633177","8145015860408","81",0.782398082256592,1
"8150014638553","8120009492073","81",1.2758859381093,1
"8150014638553","8120015726397","81",1.35334137858407,1
"8150014638553","8145013849260","81",1.46516094384459,1
"8150014638555","8145015120923","81",0.688534023331076,1
"8150014638555","8145015860408","81",1.4271558432066,1
"8150014638555","8150015136282","81",0.676959017724673,1
"8150014813740","8145015121003","81",1.09795270898524,1
"8150014813740","8150014633182","81",1.27670244325519,1
"8150014813740","8150015136282","81",0.690267286977382,1
"8150014813741","8145015121019","81",1.06500796061075,1
"8150014813741","8145015860404","81",1.07181383867353,1
"8150014813741","8150015136282","81",0.782433995649801,1
"8150014839115","8110016742266","81",0.832247435783882,1
"8150014839115","8145014842888","81",0.886220438808494,1
"8150014839115","8145015986103","81",0.879047965045226,1
"8150014839121","8145015010896","81",0.308710303635166,1
"8150014839121","8145015022593","81",0.324377611780002,1
"8150014839121","8145015883678","81",0.241335392795964,1
"8150014839123","8145015883678","81",1.56284698467562,1
"8150014839123","8145015883689","81",1.56923973751149,1
"8150014839123","8150015136282","81",0.866151157759177,1
"8150014839125","8145014654199","81",2.24492448311192,1
"8150014839125","8150015136282","81",2.00111301170707,1
"8150014839125","8150015864979","81",1.06388292213705,1
"8150014886545","8145015121022","81",1.53130030457795,1
"8150014886545","8150014633182","81",1.61888262826521,1
"8150014886545","8150015136282","81",1.48439670735209,1
"8150014912678","8145015121019","81",1.38426107490834,1
"8150014912678","8145015860408","81",1.27878615695548,1
"8150014912678","8150015136282","81",0.901162780491773,1
"8150014912727","8145015121003","81",1.49903807878666,1
"8150014912727","8145015121022","81",2.16570471320273,1
"8150014912727","8150015136282","81",1.64663324084559,1
"8150015012741","8145015121019","81",1.53532677104305,1
"8150015012741","8145015860404","81",1.77509048854933,1
"8150015012741","8150015136282","81",0.711746779603614,1
"8150015134913","8145015120923","81",1.20867548227702,1
"8150015134913","8145015121003","81",1.35234017083042,1
"8150015134913","8150015136282","81",0.785965876560463,1
"8150015148414","8145015883678","81",1.78072937955847,1
"8150015148414","8150014633182","81",1.51444304812072,1
"8150015148414","8150015136282","81",0.560607471674215,1
"8150015338673","8145015121019","81",1.81352214595596,1
"8150015338673","8145015860404","81",1.88317318424462,1
"8150015338673","8150015864979","81",0.491673220750932,1
"8150015338674","8145013849260","81",1.61113787089275,1
"8150015338674","8145014654199","81",1.62586206829039,1
"8150015338674","8145015883689","81",1.67440170114004,1
"8150015338675","8110016742266","81",1.96522968072579,1
"8150015338675","8145015883688","81",1.96044571757717,1
"8150015338675","8150015136282","81",1.61824756602764,1
"8150015338677","8145013849260","81",1.63689157807602,1
"8150015338677","8145015010900","81",1.68645459073888,1
"8150015338677","8150015864979","81",1.32862629936406,1
"8150015737424","8130996633303","81",1.19823348031636,1
"8150015737424","8145015620607","81",0.806046860987691,1
"8150015737424","8150014633182","81",1.23425740522692,1
"8150015741682","8145015120923","81",0.812817531817611,1
"8150015741682","8145015860404","81",0.773611480737151,1
"8150015741682","8150015136282","81",0.757784667198035,1
