waiver_id,created,modified,identifier,identifier_type,source_field,waiver_title,contracting_agency,funding_agency,psc,waiver_type,fiscal_year
682f865d96b405da3657083a,2025-05-22 20:17:33.274000+00:00,2025-06-24 01:42:36.121000+00:00,1660016004909,nsn,summary,"Heat Exchanger, Air",DEPT OF THE NAVY,DEPT OF THE NAVY,"1660 - AIRCRAFT AIR CONDITIONING, HEATING, AND PRESSURIZING EQUIPMENT",Nonavailability,2025
67ebd27d1d8f870d25ac2d55,2025-04-01 11:48:13.993000+00:00,2025-04-08 13:34:40.466000+00:00,G8610B,part_number,summary,Helium Leak Detector,DEPT OF THE ARMY,DEPT OF THE ARMY,4310 - COMPRESSORS AND VACUUM PUMPS,Nonavailability,2025
67bf175d4294cf1cf21d25ea,2025-02-26 13:30:05.323000+00:00,2025-03-11 14:36:33.478000+00:00,559001C,part_number,summary,One (1) µPULSE Tangential Flow Filtration system,DEPT OF THE ARMY,DEPT OF THE ARMY,6640 - LABORATORY EQUIPMENT AND SUPPLIES,Nonavailability,2025
66d75e1e825a514517aed5d0,2024-09-03 19:06:06.056000+00:00,2024-09-12 16:33:44.768000+00:00,ALN600G-TH,part_number,summary,RIGID LINEAR,DEFENSE LOGISTICS AGENCY (DLA),DEPT OF THE NAVY,3410 - ELECTRICAL AND ULTRASONIC EROSION MACHINES,Nonavailability,2024
66d050e4825a514517aea167,2024-08-29 10:43:48.769000+00:00,2024-09-10 19:38:00.691000+00:00,A43166,part_number,title,QuantStudio 6 Pro PCR system (A43166) and 384-well expansion block (A45954),DEPT OF THE ARMY,DEPT OF THE ARMY,6640 - LABORATORY EQUIPMENT AND SUPPLIES,Nonavailability,2024
66d050e4825a514517aea167,2024-08-29 10:43:48.769000+00:00,2024-09-10 19:38:00.691000+00:00,A45954,part_number,title,QuantStudio 6 Pro PCR system (A43166) and 384-well expansion block (A45954),DEPT OF THE ARMY,DEPT OF THE ARMY,6640 - LABORATORY EQUIPMENT AND SUPPLIES,Nonavailability,2024
66abb7d018a1cfd42c3c5b4c,2024-08-01 16:29:04.787000+00:00,2024-08-13 16:33:19.512000+00:00,PWHR12540W4FR,part_number,title,VRLA Batteries for UPS System part # PWHR12540W4FR,DEPT OF THE NAVY,DEPT OF THE NAVY,"6135 - BATTERIES, NONRECHARGEABLE",Nonavailability,2024
6687ff63cfe7fa81ab67e3ec,2024-07-05 14:12:51.050000+00:00,2024-07-19 13:32:41.292000+00:00,BSSBLU101M,part_number,summary,Electrical Stereo Equipment,DEPT OF THE NAVY,DEPT OF THE NAVY,5999 - MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,Nonavailability,2024
6687ff63cfe7fa81ab67e3ec,2024-07-05 14:12:51.050000+00:00,2024-07-19 13:32:41.292000+00:00,BSSBLU102M,part_number,summary,Electrical Stereo Equipment,DEPT OF THE NAVY,DEPT OF THE NAVY,5999 - MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,Nonavailability,2024
6687ff63cfe7fa81ab67e3ec,2024-07-05 14:12:51.050000+00:00,2024-07-19 13:32:41.292000+00:00,NCSA280Z-U-US,part_number,summary,Electrical Stereo Equipment,DEPT OF THE NAVY,DEPT OF THE NAVY,5999 - MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,Nonavailability,2024
