outcome,n_fits,mean_att,median_att,sd_att,n_asymp_p_lt_05,n_empirical_p_lt_05,median_pre_rmspe,q25_pre_rmspe,q75_pre_rmspe,median_n_active,median_weight_hhi,median_balanced_pool
domestic_share,4,-0.4147514557017877,-0.365724424979874,0.4551711439973581,3,3,0.00020365264932555897,1.9261217178944625e-6,0.0005339946145700766,5056.0,0.0027129143164778997,18722.0
max_log_unit_price,3,0.5508684247624503,0.067732947103031,1.0959325176605057,1,1,0.0000491693738167923,0.000028588130976622375,0.0002697886450072492,8089.0,0.00013708945516853,16274.0
mean_offers,3,1.2727255952493601,-0.13496105760767,6.723647002000743,2,2,0.0125213787678646,0.009812075179723745,0.030174120368566797,1297.0,0.00134073873088571,3237.0
