"event_year","is_pre","y_treated","y_synth","effect","effect_demeaned","pre_mean_effect"
-5,TRUE,2.82758620689655,4.68363874204554,-1.85605253514899,0.000460641607169521,-1.85651317675616
-4,TRUE,3.34042553191489,5.19351913046451,-1.85309359854961,0.00341957820654448,-1.85651317675616
-3,TRUE,2.4406779661017,4.30022845556173,-1.85955048946004,-0.00303731270388363,-1.85651317675616
-2,TRUE,1.66666666666667,3.53327413391424,-1.86660746724758,-0.0100942904914192,-1.85651317675616
-1,TRUE,3.52631578947368,5.37357758284825,-1.84726179337457,0.0092513833815886,-1.85651317675616
0,FALSE,3,4.88955068195109,-1.88955068195109,-0.0330375051949332,-1.85651317675616
1,FALSE,3,4.74364936893272,-1.74364936893272,0.112863807823437,-1.85651317675616
