"event_year","is_pre","y_treated","y_synth","effect","effect_demeaned","pre_mean_effect"
-5,TRUE,4.66666666666667,6.63183155762696,-1.96516489096029,0.010214886530395,-1.97537977749069
-4,TRUE,3.30769230769231,5.28197341156751,-1.9742811038752,0.00109867361548477,-1.97537977749069
-3,TRUE,1.75862068965517,3.7452353906501,-1.98661470099493,-0.0112349235042384,-1.97537977749069
-2,TRUE,1.83333333333333,3.81586612998596,-1.98253279665263,-0.00715301916194377,-1.97537977749069
-1,TRUE,3,4.96830539497039,-1.96830539497039,0.00707438252030257,-1.97537977749069
0,FALSE,2.71428571428571,4.81953760275288,-2.10525188846717,-0.129872110976478,-1.97537977749069
1,FALSE,2.75,4.52200459786273,-1.77200459786273,0.203375179627962,-1.97537977749069
