"Date","Contract","NSN","Part Name","Part #","Quan","Unit Price","Line price","Supplier","Manufacturer"
"2020-05-07","-","8150-01-463-3177","","","1","5708.00","5708.00","",""
"2019-04-29","-","8150-01-463-3177","","","1","4555.60","4555.60","",""
"2019-02-11","-","8150-01-463-3177","","","2","4555.60","9111.20","",""
