"Date","Contract","NSN","Part Name","Part #","Quan","Unit Price","Line price","Supplier","Manufacturer"
"2021-08-05","GS21F0083Y","4240-01-538-7970","PELTOR(TM) SPORT SHOTGUNN","97012-2C","10","16.83","168.30","CAPRICE ELECTRONICS, INC.","3M Company"
"2021-07-26","-","4240-01-538-7970","","","1","86.87","86.87","",""
"2020-08-19","GS21F0083Y","4240-01-538-7970","PELTOR(TM) SPORT SHOTGUNN","97012-2C","37","16.90","625.30","CAPRICE ELECTRONICS, INC.","3M Company"
"2018-09-24","-","4240-01-538-7970","","","4","16.42","65.68","",""
"2018-04-20","-","4240-01-538-7970","","","15","16.42","246.30","",""
"2018-04-11","-","4240-01-538-7970","","","15","16.42","246.30","",""
