"Date","Contract","Order","Line","NSN","Price","Qty","Cage","Company"
"2025/07/16","SPE8ED25P1363","","0001","8150-01-533-8675","6,265.00","12","0FXA9","SEA BOX, INC."
"2025/07/15","SPE8ED25P1354","","0001","8150-01-533-8675","6,478.00","4","6SD02","NEXGEN COMPOSITES LLC"
"2025/05/29","SPE8ED25P1180","","0001","8150-01-533-8675","7,210.00","3","6SD02","NEXGEN COMPOSITES LLC"
"2025/04/16","SPE8ED25P0940","","0001","8150-01-533-8675","6,568.00","4","0FXA9","SEA BOX, INC."
"2025/04/16","SPE8ED25P0940","","0002","8150-01-533-8675","6,568.00","1","0FXA9","SEA BOX, INC."
"2025/03/18","SPE8ED25P0783","","0001","8150-01-533-8675","5,470.00","12","0FXA9","SEA BOX, INC."
"2025/03/12","SPE8ED25P0734","","0001","8150-01-533-8675","5,123.00","12","0FXA9","SEA BOX, INC."
"2025/03/12","SPE8ED25P0731","","0001","8150-01-533-8675","5,552.00","7","0FXA9","SEA BOX, INC."
"2025/02/13","SPE8ED25P0599","","0001","8150-01-533-8675","5,715.00","1","1ULP1","W & K CONTAINERS, INC."
"2024/12/04","SPE8ED25P0333","","0001","8150-01-533-8675","5,581.00","12","0FXA9","SEA BOX, INC."
"2024/11/20","SPE8ED25P0009","","0002","8150-01-533-8675","5,252.00","4","0FXA9","SEA BOX, INC."
"2024/11/20","SPE8ED25P0009","","0001","8150-01-533-8675","6,029.00","5","0FXA9","SEA BOX, INC."
"2024/10/23","SPE8ED25P0125","","0001","8150-01-533-8675","4,898.00","12","0FXA9","SEA BOX, INC."
"2024/10/23","SPE8ED25P0118","","0001","8150-01-533-8675","4,939.00","13","0FXA9","SEA BOX, INC."
"2024/09/26","SPE8ED24P0555","","0002","8150-01-533-8675","6,023.00","8","0FXA9","SEA BOX, INC."
"2024/09/26","SPE8ED24P0555","","0001","8150-01-533-8675","6,023.00","5","0FXA9","SEA BOX, INC."
"2024/08/15","SPE8ED24P0928","","0001","8150-01-533-8675","5,023.00","12","1ULP1","W & K CONTAINERS, INC."
"2024/07/16","SPE8ED24P0838","","0001","8150-01-533-8675","6,066.00","12","0FXA9","SEA BOX, INC."
"2024/07/02","SPE8ED24P0701","","0001","8150-01-533-8675","4,999.00","4","1ULP1","W & K CONTAINERS, INC."
"2024/07/02","SPE8ED24P0701","","0009","8150-01-533-8675","4,999.00","10","1ULP1","W & K CONTAINERS, INC."
"2024/07/02","SPE8ED24P0701","","0005","8150-01-533-8675","4,999.00","5","1ULP1","W & K CONTAINERS, INC."
"2024/07/02","SPE8ED24P0701","","0004","8150-01-533-8675","4,999.00","10","1ULP1","W & K CONTAINERS, INC."
"2024/07/02","SPE8ED24P0701","","0002","8150-01-533-8675","4,999.00","1","1ULP1","W & K CONTAINERS, INC."
"2024/07/02","SPE8ED24P0701","","0008","8150-01-533-8675","4,999.00","19","1ULP1","W & K CONTAINERS, INC."
"2024/07/02","SPE8ED24P0701","","0003","8150-01-533-8675","4,999.00","2","1ULP1","W & K CONTAINERS, INC."
"2024/07/02","SPE8ED24P0701","","0007","8150-01-533-8675","4,999.00","1","1ULP1","W & K CONTAINERS, INC."
"2024/07/02","SPE8ED24P0701","","0006","8150-01-533-8675","4,999.00","3","1ULP1","W & K CONTAINERS, INC."
"2024/06/07","SPE8ED24P0655","","0001","8150-01-533-8675","5,299.00","12","1ULP1","W & K CONTAINERS, INC."
"2024/06/05","SPE8ED24P0003","","0001","8150-01-533-8675","6,161.00","10","0FXA9","SEA BOX, INC."
"2024/05/30","SPE8ED24P0725","","0001","8150-01-533-8675","5,063.00","12","0FXA9","SEA BOX, INC."
"2024/02/02","SPE8ED24P0434","","0001","8150-01-533-8675","7,734.00","1","0FXA9","SEA BOX, INC."
"2023/09/28","SPE8ED23P1046","","0001","8150-01-533-8675","5,437.00","10","6SD02","NEXGEN COMPOSITES LLC"
"2023/03/28","SPE8ED23P0387","","0003","8150-01-533-8675","5,399.00","9","1ULP1","W & K CONTAINERS, INC."
"2023/03/28","SPE8ED23P0387","","0001","8150-01-533-8675","5,949.00","10","1ULP1","W & K CONTAINERS, INC."
"2023/03/28","SPE8ED23P0387","","0002","8150-01-533-8675","5,399.00","10","1ULP1","W & K CONTAINERS, INC."
"2022/12/09","SPE8ED23P0141","","0001","8150-01-533-8675","6,469.00","10","1ULP1","W & K CONTAINERS, INC."
"2022/03/24","SPE8ED22P0583","","0001","8150-01-533-8675","7,071.00","12","0FXA9","SEA BOX, INC."
"2021/12/28","SPE8ED22P0327","","0001","8150-01-533-8675","6,731.00","4","1ULP1","W & K CONTAINERS, INC."
"2021/12/28","SPE8ED22P0326","","0001","8150-01-533-8675","6,373.00","5","1ULP1","W & K CONTAINERS, INC."
"2021/11/19","SPE8ED22P0188","","0001","8150-01-533-8675","7,429.00","20","0FXA9","SEA BOX, INC."
"2021/01/29","SPE8ED21P0418","","0001","8150-01-533-8675","5,520.00","3","81NH6","GROWTECH INDUSTRIES LLC"
"2020/10/26","SPE8ED21P0151","","0003","8150-01-533-8675","5,298.00","1","0FXA9","SEA BOX, INC."
"2020/10/26","SPE8ED21P0151","","0004","8150-01-533-8675","5,298.00","1","0FXA9","SEA BOX, INC."
"2020/10/26","SPE8ED21P0151","","0002","8150-01-533-8675","5,298.00","1","0FXA9","SEA BOX, INC."
"2020/10/26","SPE8ED21P0151","","0001","8150-01-533-8675","5,298.00","1","0FXA9","SEA BOX, INC."
"2020/09/03","SPE8ED20P1241","","0001","8150-01-533-8675","4,210.00","4","0FXA9","SEA BOX, INC."
"2020/02/05","SPE8ED20P0573","","0001","8150-01-533-8675","5,999.00","4","1ULP1","W & K CONTAINERS INC"
