"event_year","is_pre","y_treated","y_synth","effect","effect_demeaned","pre_mean_effect"
-5,TRUE,0.88,0.881197790282781,-0.00119779028278122,0.000152646760994147,-0.00135043704377537
-4,TRUE,1,0.998137936471456,0.00186206352854434,0.00321250057231971,-0.00135043704377537
-3,TRUE,0.909090909090909,0.910117995213715,-0.00102708612280544,0.000323350920969923,-0.00135043704377537
-2,TRUE,0.833333333333333,0.833079692195762,0.000253641137571869,0.00160407818134724,-0.00135043704377537
-1,TRUE,0,0.00664301347940638,-0.00664301347940638,-0.00529257643563102,-0.00135043704377537
0,FALSE,0,0.36832079090892,-0.36832079090892,-0.366970353865145,-0.00135043704377537
1,FALSE,0,0.47495711649134,-0.47495711649134,-0.473606679447565,-0.00135043704377537
