"event_year","is_pre","y_treated","y_synth","effect","effect_demeaned","pre_mean_effect"
-5,TRUE,1,0.98361529465917,0.0163847053408301,0.00348483456086231,0.0128998707799678
-4,TRUE,1,0.982342223229423,0.0176577767705774,0.00475790599060962,0.0128998707799678
-3,TRUE,1,0.983126394704782,0.0168736052952179,0.00397373451525004,0.0128998707799678
-2,TRUE,1,0.980309348622038,0.0196906513779621,0.00679078059799428,0.0128998707799678
-1,TRUE,0,0.00610738488474843,-0.00610738488474843,-0.0190072556647163,0.0128998707799678
0,FALSE,0,0.330823543068041,-0.330823543068041,-0.343723413848009,0.0128998707799678
1,FALSE,0,0.379590153171795,-0.379590153171795,-0.392490023951763,0.0128998707799678
2,FALSE,0,0.414330277638927,-0.414330277638927,-0.427230148418895,0.0128998707799678
