"event_year","is_pre","y_treated","y_synth","effect","effect_demeaned","pre_mean_effect"
-5,TRUE,1,0.939953350421268,0.0600466495787316,0.00580663296992855,0.0542400166088031
-4,TRUE,0.2,0.154588854353428,0.0454111456465715,-0.00882887096223155,0.0542400166088031
-3,TRUE,0.833333333333333,0.77592886452445,0.0574044688088837,0.00316445220008064,0.0542400166088031
-2,TRUE,1,0.938491876111302,0.0615081238886976,0.00726810727989456,0.0542400166088031
-1,TRUE,0.5,0.453170304878869,0.0468296951211309,-0.00741032148767219,0.0542400166088031
0,FALSE,0,0.598880609595045,-0.598880609595045,-0.653120626203848,0.0542400166088031
1,FALSE,0,0.53344892709806,-0.53344892709806,-0.587688943706863,0.0542400166088031
2,FALSE,0,0.615746470387089,-0.615746470387089,-0.669986486995892,0.0542400166088031
