"event_year","is_pre","y_treated","y_synth","effect","effect_demeaned","pre_mean_effect"
-5,TRUE,8.7558950816463,3.55654096140885,5.19935412023745,4.03599272376098e-05,5.19931376031021
-4,TRUE,8.75762641126741,3.55832660314386,5.19929980812355,-1.39521866593384e-05,5.19931376031021
-3,TRUE,8.69851424787661,3.49979206189651,5.1987221859801,-0.000591574330107925,5.19931376031021
-2,TRUE,9.0259366489779,3.82652989477064,5.19940675420727,9.29938970610777e-05,5.19931376031021
-1,TRUE,9.33600338997184,4.13621745696916,5.19978593300268,0.000472172692470352,5.19931376031021
0,FALSE,8.93260863037757,4.07120142355459,4.86140720682298,-0.337906553487231,5.19931376031021
1,FALSE,8.96085284532237,4.04236105385386,4.91849179146851,-0.280821968841701,5.19931376031021
2,FALSE,8.96648377906443,4.23000594593318,4.73647783313125,-0.462835927178956,5.19931376031021
