"event_year","is_pre","y_treated","y_synth","effect","effect_demeaned","pre_mean_effect"
-5,TRUE,1,0.914996936589567,0.085003063410433,0.00201156212203794,0.082991501288395
-4,TRUE,1,0.912049362570335,0.0879506374296651,0.00495913614127012,0.082991501288395
-3,TRUE,0.0769230769230769,0.00427397328683315,0.0726491036362438,-0.0103423976521512,0.082991501288395
-2,TRUE,1,0.909742251412251,0.0902577485877494,0.00726624729935436,0.082991501288395
-1,TRUE,0.5,0.420903046622116,0.0790969533778838,-0.00389454791051121,0.082991501288395
0,FALSE,0,0.666028453682019,-0.666028453682019,-0.749019954970414,0.082991501288395
1,FALSE,0,0.592285669679445,-0.592285669679445,-0.67527717096784,0.082991501288395
2,FALSE,0,0.656938162885815,-0.656938162885815,-0.73992966417421,0.082991501288395
3,FALSE,0,0.588413319244041,-0.588413319244041,-0.671404820532437,0.082991501288395
