"event_year","is_pre","y_treated","y_synth","effect","effect_demeaned","pre_mean_effect"
-5,TRUE,8.92465630218707,3.26544554491665,5.65921075727042,0.000488023701671558,5.65872273356875
-4,TRUE,8.50754681436443,2.85016177549894,5.65738503886549,-0.00133769470326239,5.65872273356875
-3,TRUE,8.97966855424118,3.32054259379687,5.65912596044431,0.000403226875556051,5.65872273356875
-2,TRUE,8.9839415279413,3.32533205638877,5.65860947155253,-0.000113262016220972,5.65872273356875
-1,TRUE,9.29523283899415,3.63595039928314,5.65928243971101,0.00055970614225398,5.65872273356875
0,FALSE,9.18491999462927,3.628129452993,5.55679054163627,-0.101932191932481,5.65872273356875
1,FALSE,9.06820060481506,3.5523763041016,5.51582430071346,-0.142898432855293,5.65872273356875
2,FALSE,9.43003799288609,3.81937505042921,5.61066294245688,-0.0480597911118723,5.65872273356875
