"event_year","is_pre","y_treated","y_synth","effect","effect_demeaned","pre_mean_effect"
-4,TRUE,2,5.96479612252258,-3.96479612252258,0.000589016890115257,-3.96538513941269
-3,TRUE,1.41666666666667,5.38347706627398,-3.96681039960731,-0.00142526019461675,-3.96538513941269
-2,TRUE,3.83333333333333,7.79585849460765,-3.96252516127432,0.00285997813837202,-3.96538513941269
-1,TRUE,1,4.96740887424656,-3.96740887424656,-0.00202373483387097,-3.96538513941269
0,FALSE,2.4,5.32805341488764,-2.92805341488764,1.03733172452505,-3.96538513941269
