"Means Treated","Means Control","Std. Mean Diff.","Var. Ratio","eCDF Mean","eCDF Max","Std. Pair Dist.","treated_nsn","covariate","stage"
2.901422,2.806291,0.086246,NA,0.020915,0.666667,0.172736,"8150014633177","log_n_transactions_per_fy","after"
8.573356,8.055808,0.191845,NA,0.03723,1,0.191845,"8150014633177","mean_max_log_unit_price","after"
0.457143,0.372382,0.618526,NA,0.032555,1,0.618526,"8150014633177","mean_domestic_share","after"
3.330303,1.039658,0.499574,NA,0.4563,1,0.499574,"8150014633177","mean_pre_offers","after"
0,3.190488,-3.480244,NA,0.499897,1,NA,"8150014638553","distance","before"
3.08191,2.226603,0.7434,NA,0.127642,0.799702,NA,"8150014638553","log_n_transactions_per_fy","before"
8.772338,4.420735,1.610237,NA,0.46425,0.961543,NA,"8150014638553","mean_max_log_unit_price","before"
0.786232,0.974035,-1.507567,NA,0.593042,0.963374,NA,"8150014638553","mean_domestic_share","before"
5.154928,4.291793,0.193061,NA,0.340019,0.767311,NA,"8150014638553","mean_pre_offers","before"
0,1.169414,-1.275618,NA,0.000229,1,1.275618,"8150014638553","distance","after"
3.08191,3.150954,-0.060011,NA,0.013147,0.666667,0.076182,"8150014638553","log_n_transactions_per_fy","after"
8.772338,7.292245,0.547683,NA,0.11776,1,0.547683,"8150014638553","mean_max_log_unit_price","after"
0.786232,0.90463,-0.950423,NA,0.265241,1,0.950423,"8150014638553","mean_domestic_share","after"
5.154928,3.962963,0.266611,NA,0.173191,0.666667,0.268362,"8150014638553","mean_pre_offers","after"
0,4.463357,-5.442896,NA,0.499953,1,NA,"8150014638555","distance","before"
2.322388,2.077026,0.221897,NA,0.080636,0.702161,NA,"8150014638555","log_n_transactions_per_fy","before"
9.172861,4.569101,1.729651,NA,0.477424,0.975312,NA,"8150014638555","mean_max_log_unit_price","before"
0.343407,0.971018,-4.832664,NA,0.827212,0.983746,NA,"8150014638555","mean_domestic_share","before"
3.844017,4.362549,-0.115334,NA,0.281571,0.611228,NA,"8150014638555","mean_pre_offers","before"
0,0.762166,-0.929433,NA,0.000176,1,0.929433,"8150014638555","distance","after"
2.322388,2.218724,0.09375,NA,0.006112,1,0.09375,"8150014638555","log_n_transactions_per_fy","after"
9.172861,8.049403,0.422088,NA,0.065993,1,0.422088,"8150014638555","mean_max_log_unit_price","after"
0.343407,0.359524,-0.124104,NA,0.028369,0.666667,0.554707,"8150014638555","mean_domestic_share","after"
