"outcome","post_label","post_threshold","n_treated","att","se","ci_low","ci_high","t_stat"
"max_log_unit_price","headline",0,26,-0.126166022955977,0.094672008057876,-0.321146673417743,0.0688146275057897,-1.3326644859888
"mean_offers","headline",0,26,-0.0857186630984888,0.679751829703878,-1.48569376267822,1.31425643648124,-0.126102879540362
"domestic_share","headline",0,26,-0.299057890556766,0.0701077760827108,-0.443447558246904,-0.154668222866628,-4.26568787753227
"max_log_unit_price","ey2plus",2,14,-0.223600934698103,0.0451124128982368,-0.321060377540861,-0.126141491855344,-4.95652793395234
"mean_offers","ey2plus",2,14,-0.00681318455077964,0.3169886083183,-0.691625438417396,0.677999069315837,-0.0214934681310007
"domestic_share","ey2plus",2,14,-0.270778951758701,0.101002678446206,-0.488981972492674,-0.0525759310247281,-2.68090862464522
