"outcome","post_label","post_threshold","n_treated","att","se","ci_low","ci_high","t_stat"
"max_log_unit_price","headline",0,26,-0.117378320018514,0.0861460455070395,-0.294799421907502,0.060042781870474,-1.3625502984803
"mean_offers","headline",0,26,-0.493977064747554,0.719273998592094,-1.97534959484099,0.987395465345885,-0.686771752787483
"domestic_share","headline",0,26,-0.396983186295377,0.0707101789808287,-0.542613525978479,-0.251352846612274,-5.61422969107473
"max_log_unit_price","ey2plus",2,14,-0.170069482019566,0.0584603269600491,-0.296365340030622,-0.0437736240085087,-2.90914353140359
"mean_offers","ey2plus",2,13,-0.822200897137973,0.486141600030168,-1.88141245231866,0.237010658042712,-1.69127862558347
"domestic_share","ey2plus",2,14,-0.225607758298309,0.111404901019854,-0.466283414637941,0.0150678980413234,-2.02511519899921
