treated_nsn,outcome,n_treated_eys,treated_eys,n_pre_eys,n_post_eys,n_candidates_pre_coverage,n_balanced_pool,out_path
1680016229189,domestic_share,5,"-3,-2,-1,0,2",3,2,364189,24693,data/donor_pools/main/1680016229189__domestic_share.parquet
3990015742050,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,14569,data/donor_pools/main/3990015742050__max_log_unit_price.parquet
3990015742050,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2556,data/donor_pools/main/3990015742050__mean_offers.parquet
3990015742050,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,11770,data/donor_pools/main/3990015742050__domestic_share.parquet
4240015387970,max_log_unit_price,5,"-5,-4,-3,-2,0",4,1,372250,25351,data/donor_pools/main/4240015387970__max_log_unit_price.parquet
4240015387970,mean_offers,5,"-5,-4,-3,-2,0",4,1,320638,7305,data/donor_pools/main/4240015387970__mean_offers.parquet
4240015387970,domestic_share,5,"-5,-4,-3,-2,0",4,1,364189,23847,data/donor_pools/main/4240015387970__domestic_share.parquet
4510015272274,max_log_unit_price,7,"-5,-4,-3,-2,0,1,2",4,3,372250,16274,data/donor_pools/main/4510015272274__max_log_unit_price.parquet
4510015272274,mean_offers,7,"-5,-4,-3,-2,0,1,2",4,3,320638,3237,data/donor_pools/main/4510015272274__mean_offers.parquet
4510015272274,domestic_share,7,"-5,-4,-3,-2,0,1,2",4,3,364189,13597,data/donor_pools/main/4510015272274__domestic_share.parquet
8150014633177,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15550,data/donor_pools/main/8150014633177__max_log_unit_price.parquet
8150014633177,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,2976,data/donor_pools/main/8150014633177__mean_offers.parquet
8150014633177,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,14051,data/donor_pools/main/8150014633177__domestic_share.parquet
8150014638553,max_log_unit_price,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,372250,11586,data/donor_pools/main/8150014638553__max_log_unit_price.parquet
8150014638553,mean_offers,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,320638,1695,data/donor_pools/main/8150014638553__mean_offers.parquet
8150014638553,domestic_share,9,"-5,-4,-3,-2,-1,0,1,2,3",5,4,364189,7440,data/donor_pools/main/8150014638553__domestic_share.parquet
8150014638555,max_log_unit_price,8,"-5,-4,-3,-2,-1,0,1,2",5,3,372250,15525,data/donor_pools/main/8150014638555__max_log_unit_price.parquet
8150014638555,mean_offers,8,"-5,-4,-3,-2,-1,0,1,2",5,3,320638,3133,data/donor_pools/main/8150014638555__mean_offers.parquet
8150014638555,domestic_share,8,"-5,-4,-3,-2,-1,0,1,2",5,3,364189,13728,data/donor_pools/main/8150014638555__domestic_share.parquet
8150014813740,max_log_unit_price,6,"-5,-4,-3,-1,0,1",4,2,372250,19029,data/donor_pools/main/8150014813740__max_log_unit_price.parquet
