"donor_id","omega","active"
"1005004946602",0,FALSE
"1005010333900",0,FALSE
"1005010534216",0,FALSE
"1005013618208",0,FALSE
"1005014085897",0,FALSE
"1005014660423",0,FALSE
"1005014848000",0,FALSE
"1005014934176",0,FALSE
"1005015011528",0,FALSE
"1005015661453",0,FALSE
"1005015728023",0,FALSE
"1005015897062",0,FALSE
"1005016040627",0,FALSE
"1005016136153",0,FALSE
"1005016136261",0,FALSE
"1005016650494",0,FALSE
"1005016653062",0,FALSE
"1005016654501",0,FALSE
"1005016654553",0,FALSE
"1005131187694",0,FALSE
"1005131188930",0,FALSE
"1005131188965",0,FALSE
"1005131223195",0,FALSE
"1055015862556",0,FALSE
"1095015331733",0,FALSE
"1095015984471",0,FALSE
"1095015994868",0,FALSE
"1095016000972",0,FALSE
"1095016091271",0,FALSE
"1420011528730",0,FALSE
"1440014630358",0,FALSE
"1450011008394",0,FALSE
"1560000103071",0,FALSE
"1560000109882",0,FALSE
"1560000239388",0,FALSE
"1560000239531",0,FALSE
"1560000278953",0,FALSE
"1560000662901",0,FALSE
"1560000744235",0,FALSE
"1560000987912",0,FALSE
"1560001068403",0,FALSE
"1560001114630",0,FALSE
"1560001197586",0,FALSE
"1560003204898",0,FALSE
"1560003336776",0,FALSE
"1560003409494",0,FALSE
"1560004016097",0,FALSE
"1560004101025",0,FALSE
"1560004570800",0,FALSE
"1560005238558",0,FALSE
"1560005734184",0,FALSE
"1560005914464",0,FALSE
"1560006207550",0,FALSE
"1560006293945",0,FALSE
"1560006304264",0,FALSE
"1560006504219",0,FALSE
"1560006527608",0,FALSE
"1560006702157",0,FALSE
"1560006718565",0,FALSE
"1560007518366",0,FALSE
"1560007655173",0,FALSE
"1560007729684",0,FALSE
"1560007835033",0,FALSE
"1560007879727",0,FALSE
"1560008140567",0,FALSE
"1560008257156",0,FALSE
"1560008348178",0,FALSE
"1560008396863",0,FALSE
"1560008569222",0,FALSE
"1560008626191",0,FALSE
"1560008701627",0,FALSE
"1560008721750",0,FALSE
"1560008858030",0,FALSE
"1560008873240",0,FALSE
"1560008916346",0,FALSE
"1560008948684",0,FALSE
"1560009157280",0,FALSE
"1560009157599",0,FALSE
"1560009398851",0,FALSE
"1560009712814",0,FALSE
"1560010072336",0,FALSE
"1560010073316",0,FALSE
"1560010279745",0,FALSE
"1560010819238",0,FALSE
"1560010819248",0,FALSE
"1560010819252",0,FALSE
"1560010836799",0,FALSE
"1560010836830",0,FALSE
"1560010857126",0,FALSE
"1560010887080",0,FALSE
"1560010890454",0,FALSE
"1560010890468",0,FALSE
"1560010890862",0,FALSE
"1560010890868",0,FALSE
"1560010894185",0,FALSE
"1560010903304",0,FALSE
"1560010922236",0,FALSE
